"","L1","LIN35","L2","L3","L4","L4MALE","YA","AdultSPE9"
"Y74C9A.6",11.7192775768221,8.39141545648437,7.36559631233158,7.84230005251406,12.2803416089056,7.12121230710512,6.16753456035194,5.34597112461654
"Y74C9A.3",4.48818077502809,5.74432258224568,4.47945046747014,4.27939700459469,4.64873002790217,4.05483979649393,4.92634106902995,5.24004332147926
"Y74C9A.2",8.96752889038783,8.62078799247391,7.80165663110811,7.92548916479092,7.19533775457247,8.14872569567219,7.99804878859449,7.85962174923233
"Y74C9A.4",3.71287086768991,3.86344293434804,3.77477651932493,3.57064507799186,3.72986813859204,3.20009625823558,5.23884416889802,5.89357578372252
"Y74C9A.5",4.05825587687862,4.11079752341722,4.58262825638207,4.52660721715162,3.9328737816327,4.89383300008731,4.55534990275871,3.11744736984343
"Y48G1C.12",3.81207716391822,3.88047003536739,3.17400845595354,2.98789019058795,3.69776270133231,3.3720926307186,4.39527534824307,4.55780217348035
"Y48G1C.4",3.0305285425942,3.29450165271657,3.03478267887309,3.49328866491697,3.65314029201972,2.79210362276835,4.62879108937659,4.09562910131617
"Y48G1C.2",4.521898762138,4.20926619305003,4.82389199259756,4.26673407810318,4.15436447466772,3.9739510172861,5.19699646254405,5.72325000361109
"Y48G1C.10",1.76399363441751,2.19461976726108,2.28257917477367,2.01473734231033,2.13165532924455,2.06732894470474,2.69515867847536,3.60821785302146
"Y48G1C.11",2.45969914818382,2.89558376434234,3.12833629844051,2.78477616386442,2.78145833803269,2.55509462714418,3.55380282922981,3.76634073311638
"Y48G1C.6",3.0567274438904,4.30218742552875,2.94510761706861,2.41689647599552,2.47669533918397,2.50817000914807,3.00806014151895,2.32234064667696
"Y48G1C.9",6.80458280123426,7.64452688704371,6.80892557386665,6.53931238014837,6.86750115092239,6.65607442638531,6.61965070114332,7.84882947200704
"Y48G1C.1",2.10819657230059,4.73506178448043,3.20100646605609,3.76011447057872,3.6753417281165,2.92051054572221,4.44605106141959,5.08080687054189
"Y48G1C.13",1.20274368210738,1.06290226958064,0.773411535458167,0.635702392965129,2.80499108868151,3.29620335320493,5.05334597259572,7.09113914721355
"Y48G1C.7",3.9813229591477,4.66571111124165,4.12189401655007,4.55790630270118,4.79763558953,3.38093165541139,5.3507694947237,5.93396913607284
"Y48G1C.8",3.35912333430818,4.1101544083296,3.49621945118269,3.86578027751279,3.64821231642944,2.7774723196631,4.78669567443544,5.76052169839958
"F53G12.1",8.76502414352512,8.89014265376687,9.51709849543701,9.47808804542804,8.89594480732542,9.24727245713454,9.18002848052637,9.76866238646353
"F53G12.15",6.65338252316937,0,1.65916191992848,1.75543882691041,7.84608042019717e-07,1.65259204011796,0,4.14572787409285e-07
"F53G12.10",13.0206883156318,12.7562039450111,12.2466960701813,12.4135221557157,12.4487641850667,11.5894873009801,11.9482796158651,11.1850922266328
"F53G12.13",0.987456942221669,0.131167873954228,1.15151465850143,0.997218690089208,1.94680944839113,1.16784602335971,1.15674608316111,2.38096489219093
"F53G12.17",6.41905847498363,2.93875814306269,2.59836758757901,2.85042340147971,6.41097024678252,1.75868693499576,2.61308840400417,2.61778456775199e-08
"F53G12.12",7.9381505034717,4.74590419582366,5.57531535647084,4.85724453523543,8.83222862735828,4.3908258671333,4.72905238989386,3.20025323159369
"F53G12.8",0.373524606117342,1.09220067121893,0.517111380417678,1.30932173048402,4.50042603671274,5.92808128126671,4.2125304306929,1.26191588369377
"F53G12.7",0.123411136676073,2.3376283238665,0.489105128416637,0.373336394051571,0.6880379847589,1.65120097726998,0.579697648702822,0.447820374899575
"F53G12.6",0.00935089903745573,0.105944469195154,0.179816754577552,1.44329898517043,2.8722811208346,4.76105118880484,2.513124340428,0.324523763677639
"F53G12.5",3.9660150974041,4.65223981026357,4.76634603417017,4.06360648129697,5.99339584853787,4.20864210901517,7.69799616602105,8.77944359185362
"F53G12.4",1.54006695770859,1.41760141347704,1.11405379618496,0.568452444379183,0.513464468591505,0.759021147562849,0.766371266919175,0.81190993763501
"F56C11.1",2.7668431864328,3.48070458586167,4.51545384963482,3.96522094654737,3.28841172090873,3.93720312919264,3.00747540015418,2.28071584461792
"F56C11.2",3.58427705777114,3.66673387209896,5.85807302618612,4.74312176553204,4.24750983073791,3.26332291599192,2.36742418716234,1.98734633573037
"F56C11.6",3.46277217753309,3.90106961612417,4.56307268908019,3.00508194892602,3.65177501062106,3.85178901163406,2.35485551715406,2.78959780679422
"F56C11.5",4.17491769523959,4.2286494043461,4.03785659913297,4.68395465677111,4.27934499858352,4.22296680875461,5.15936680974374,5.9661443364117
"F56C11.3",4.21978806850578,4.67165003870235,3.96534102065669,4.12565936638946,4.55965699783673,3.95229628694641,4.61312495361398,5.20503273281206
"F56C11.4",1.94635282825815,3.25513510336517,2.24797610866863,2.19351313881426,2.34533675866195,1.86724413932803,3.17146785985394,4.22135124430149
"K10E9.1",1.96172333192256,3.13708540949133,2.23338499206057,2.31496039147175,2.12675815352043,1.69654139896061,3.1678155222208,4.15466421337316
"Y48G1BL.2",2.26122088082963,3.11263508491695,2.48902906385044,2.48890827741395,2.30554450566261,1.633198686374,3.30196509754791,3.76332658256796
"Y48G1BL.3",0.67804395262543,1.41650469517356,1.23533493656362,2.23801334326529,1.95831931344259,1.33267929424883,4.21627636036376,4.13453310650664
"Y48G1BL.1",0.469677629817189,1.22222959370782,0.725161781221946,1.7143026747374,1.3000534189352,0.766286449204617,2.28874244224324,2.03310226909754
"Y48G1BL.4",3.40194578276259,4.60153607606873,2.78293480099809,3.73334349324191,3.14831102501227,3.16893240647156,4.65997021258636,5.77151059806044
"Y48G1BL.5",0.248296796107889,0.162289968945805,1.06208025455809,2.50743693431725,2.32829650119734,2.77753333807107,3.88680374282413,3.98685687299395
"Y48G1BL.6",0.429581687234874,1.43780832281157,0.893734195602658,1.91177593632552,2.69600717133547,2.02723545741585,4.19096245569146,5.03010208498614
"Y48G1BM.9",1.48913185285272,1.8315773239716,4.39811090469158,3.39507239916747,3.5315187049757,4.53860024039412,3.06501387434336,2.48888514694265
"Y48G1BR.1",1.55787567723993,2.59196419425188,4.871616977794,3.43683744457421,3.94217666401987,5.04687080465784,3.14142625104575,2.86244544001028
"C53D5.3",5.41402387543585,5.80266111203176,3.18362466356139,2.05518524014024,3.75127089189441,4.13475486815503,1.07896499998144,2.93819732646216
"C53D5.2",3.36689847766835,3.57921635989761,2.99619890566297,1.97574022747236,2.08354697950016,2.08932526114018,1.64601054391105,1.610284294426
"C53D5.4",3.24263146623606,3.18382630574449,2.97522479548268,2.50042731150997,2.47014115968672,2.00686529460357,3.00426766569544,3.54065967401973
"C53D5.1",4.69825737933818,4.51660143799194,4.51484816036301,3.85147921347566,3.51169573536079,3.98070169066038,4.43602854647554,4.6758667293991
"C53D5.5",3.31571692582741,3.1226793442741,3.91216122008823,4.34318038446328,3.36285418218272,2.76979077762144,3.45135092281699,2.99740984202736
"C53D5.6",6.72144101907033,6.12683867079137,7.01967967791112,7.62115076914982,7.23977989886237,5.89755507306469,7.57018966745085,8.37100119154167
"Y48G1A.5",4.58817492922598,4.40036714591488,4.36539859382958,5.17186332208462,4.9802218517628,3.66260429387047,6.05081727967674,7.07531869255335
"Y48G1A.4",4.15768243032857,3.3398443033374,3.78703537618707,4.02033328889227,4.06832686143451,2.63881758938337,4.26843439357638,4.05739828223666
"Y48G1A.3",4.60518613406773,4.42784079276653,4.03052148014074,4.06262256073799,4.11181589839363,3.41019183386114,4.40057891465613,4.44263170736958
"Y48G1A.6",1.44105315658095,3.24858492884683,1.82704667127117,2.07389904820753,2.51725805316237,1.699280657577,3.670262507814,4.72404447455583
"Y48G1A.2",1.76900576526358,3.84348142543246,1.6024901369442,1.8248900239794,4.14294434344727,2.5997295934063,5.69600216201538,6.26928567081419
"Y48G1A.1",1.85153518193742,2.03153635326805,2.3273395810253,2.48107414884109,2.25985999253123,1.85925000847954,2.60409505201058,2.27901657447196
"R119.7",0.721337658111139,4.23615582266993,2.13409934074896,3.78195765226832,4.96889253858886,3.492545423804,6.08881367443831,6.85566585164883
"R119.2",3.22472563857935,3.32507550513437,2.77768482089271,2.84801293641079,3.23854842841707,2.29204254671131,3.33589623656005,3.79884891004261
"R119.3",5.00643716948078,4.33316608660586,5.3304078126697,5.13385939912268,4.86662613561368,3.54694383470188,5.02209700485183,4.0958991093372
"R119.4",7.49700552694752,8.48281198941157,7.74261259758287,8.02585381024427,7.88575737395423,7.30308662664646,8.30291761229988,9.52595140006704
"R119.6",2.8914522401274,3.31960637409743,3.34330690118388,3.39903160376458,3.76479199157246,2.90202339774094,3.99665990424203,4.70549139374708
"R119.5",3.56370727525784,3.74086281563291,3.25819024827869,2.99112180412592,1.93289267410149,2.50249355136008,2.55684138002839,2.72944400683366
"Y50C1A.1",4.71748999151943,4.22193893162862,4.97085365434048,4.3293819662963,4.10619754228874,4.30220936393274,4.81615423510992,5.01181763304537
"Y50C1A.2",1.60560337339244,1.40022640497728,1.28831721517216,0.979979221030075,0.519255047958223,1.00538561461953,0.395866754531133,0.395586024424731
"C07F11.2",1.57782759123625,1.85208675490694,2.01525848011591,1.12713799046969,0.796084372252305,1.62841433457026,1.02505715185491,0.397997863093199
"C07F11.1",4.08035920264976,4.01481945185481,4.37808152505064,4.15964533048292,3.37256212763215,3.65481358006851,4.40198536304195,5.22925720313777
"W04C9.4",7.30932173048402,6.27990953498539,6.4785576985995,6.2207826609897,7.94656127269198,4.9301175551071,6.54722307918933,6.43824127830233
"W04C9.5",1.7739414847837,2.309717533192,0.957451822224732,1.19301472118811,1.6927976446105,1.71411360808928,1.1349765957209,1.72718857758287
"W04C9.3",0.246257272885395,0.788190390769838,0.287436833109104,0.331306227781001,0.247029422063028,0.319835246893116,0.488009000087124,0.430875078163141
"W04C9.2",7.61920022967043,7.23108674695662,7.43858395646998,7.54608416296858,8.18780238112769,7.45616546616081,7.80698776097785,8.10995598704625
"W04C9.1",5.8736434305983,4.13120258474194,6.1304799571674,6.51359812257149,5.06466732774321,4.88785178976106,4.43777370738622,3.29654550819512
"Y65B4BL.3",0.466618767915777,2.93974186827658,1.56912162139407,2.74153386118203,3.30239655807833,2.28554722092279,4.51485447093706,4.99759049165737
"Y65B4BL.4",0.886818567028093,2.40831241558384,1.92220546154272,3.5070080777531,4.55104837330157,3.13640140849385,5.48176391873535,5.94160168268292
"Y65B4BL.2",1.88808274515779,2.01717721394598,2.91522066656956,5.03855470394821,5.36890102065576,4.54227043336219,6.76912375598532,7.33854029640931
"Y65B4BL.7",1.30145302780367,3.95699521431249,1.9676297534662,2.62370301631804,3.7840327791596,4.08648657024083,3.39173060746826,2.32055977130069
"Y65B4BL.5",5.33178044446366,5.31457327508674,6.0964495160434,6.27451699941009,5.90821246030054,6.00860117488611,7.3527055668799,8.06728376403878
"Y65B4BL.6",0.166449373329251,2.22010393559221,7.56424096576719,4.47633631908531,7.61619593762839,5.98130925758107,3.76432492133117,2.43381408445803
"Y65B4BL.1",5.28571661813659,5.71176469843372,7.28280117486877,7.16098067558037,5.05714263774152,5.4034722487259,2.09547551170757,3.52531721225445
"Y65B4BR.8",3.68177532477327,5.95887282771839,3.3080666672984,3.23105294449891,4.45211436830771,2.85654355399386,5.68693187053179,6.52223626312158
"Y65B4BR.5",11.444854422508,11.3733056349841,10.9667289405728,11.0593715026524,11.3789829797954,10.0752785755311,10.5034978154939,10.3810562028391
"Y65B4BR.4",5.81787391678813,5.80258357085004,6.08191265424039,5.85276543980369,5.82396075669891,6.21063238440616,6.39112155138686,7.17681143473572
"Y65B4BR.3",3.52599366934403,3.70759104910132,3.99181659059055,4.65724555367447,4.07871229519432,4.66088869606595,4.12155423812539,3.6800092252282
"Y65B4BR.11",0,0,0,1.68144926531496,3.21793017616472,1.91034507740019,0,0
"Y65B4BR.2",0.830433824322004,3.38828598918768,3.95069235977563,5.31035102804351,2.47022447510795,2.71533990191471,1.15618301201753,0.459236448143573
"Y65B4BR.1",3.67952513903782,1.23701908686618,2.78715451416239,3.26989491427591,0.797528519450105,3.94457737394104,2.33932840106354,5.87589061958986
"Y65B4BR.9",2.08183725777104,2.36998288581466,1.492545423804,1.54175270841727,1.58374531458435,1.64319586142936,0.806273732339326,0.56467765218867
"Y65B4BR.6",0.273563630630201,0.883220403076209,9.38738192898841,5.97042344994196,9.71397756370489,7.52714855029048,5.29596908443042,4.05451858120854
"F56A6.2",1.72542706625269,1.99890674438367,2.96290433188982,2.6397716256908,2.65985607441742,2.10957452379803,1.90897426540471,1.6815617079354
"F56A6.4",2.21312016577024,2.89469943321502,2.50629980471007,3.27517992208481,3.77131514707414,3.61307189742526,4.61293630052212,5.21042393385324
"F56A6.1",1.64392543747476,2.09490826992638,3.08075827332094,4.21072393727908,2.80399365200166,4.15640470705861,4.24848929580373,4.1694680756623
"Y65B4A.4",1.04568060444202,3.15448923834339,1.73111371242494,2.18470240744752,1.70965677790726,2.60701776995633,2.31897042575559,1.81524340685769
"Y65B4A.6",6.18053578000301,5.86478291306496,5.65061522785734,6.33076453581258,5.70702775736672,5.39899672914334,6.31920966194432,6.88299756644573
"Y65B4A.3",5.07076283450366,5.80242847598255,5.91620671100835,5.66270682313957,6.33153683493362,5.99135177376779,6.07256889815723,6.12575647339637
"Y65B4A.2",4.03844496141908,4.81752093508571,4.87209984209296,2.73393997761442,3.51650689104327,3.43177805112164,2.06468284653549,1.83096108215749
