"","Embryo16.18h","Embryo18.20h","Embryo20.22h","Embryo22.24h","Female.1d","Female.5d","Female.30d"
"FBgn0031208",0.715889857130746,0.517151704307953,0.153374732719675,0.272692109921943,0.16056656842342,0.105029523848169,0.198621130359693
"FBgn0002121",6.76525625812695,5.98327410313398,5.31731130497619,5.73129458986675,4.49847427645205,5.81494001130628,5.53941940344972
"FBgn0051973",5.84442331685515,5.61799191954773,4.21074731154965,4.55543580266378,3.83601499754721,1.45300125090659,1.34051099761046
"FBgn0067779",4.01511393678239,3.50627187284027,4.10480629803063,4.34472199490891,2.83964522303744,4.17504548611091,4.06556369537677
"FBgn0031213",5.37564766849185,5.10939817263166,5.00728073273532,5.63636070645887,4.80114830673778,5.52394766859998,5.39219719318238
"FBgn0002931",1.46757164227566,1.51842938782595,1.52578826035515,1.81768055490006,1.31057279459715,0.788594678068942,0.901718410662743
"FBgn0031216",3.7126287936858,3.00598916253129,3.59624343682165,3.97867156729858,2.36351874015292,3.59037446595691,3.31260564083184
"FBgn0031217",4.54337833487301,3.82920009945855,2.94658864194642,2.92818079398022,5.0421802892586,5.54896983008632,5.47832471148503
"FBgn0026787",3.70817619776088,3.62514188035678,3.61521617065704,4.00540897087179,3.70704985138248,4.54012648833811,4.45204186494195
"FBgn0005278",7.17491569841741,7.03003806131563,8.45369453061435,8.6352537716569,7.73803819977708,7.96411556448862,7.92346417095609
"FBgn0031228",7.84272746929254,7.93461085396445,8.26993081009981,8.44144613024239,8.28730605941337,7.62785485297218,7.33353107311298
"FBgn0031229",4.31446451583938,3.61423868309179,3.59145203334269,3.91619954394585,4.5385381636298,5.71681260358321,5.62274297576037
"FBgn0031219",2.2238210123774,2.93062380955195,1.24358987678458,1.1759524759527,0.191466636277204,0.383578781184943,0.428290352112852
"FBgn0031220",2.95922672428009,1.65792348636442,1.46812450091802,1.93482595431661,3.02423278860318,3.02922846873731,3.40508426488937
"FBgn0025683",7.13421066997009,7.42419148851139,7.74063753543782,7.9926098343433,6.98128185405741,6.66696957247829,6.54523170253377
"FBgn0001142",7.93422750903557,7.34610590918853,6.89554498925339,6.9247887553438,6.91987634493112,7.15579982000919,7.17001516706472
"FBgn0051975",0.660557196674654,0.762499349881529,2.68255756694206,2.84111569809574,1.17815370535491,0.944422948489569,1.64217938113612
"FBgn0051974",1.95481048849177,2.28737772782205,3.80493122063428,4.09824268000358,4.8630216118281,4.4650014597163,4.79526303843622
"FBgn0031224",4.47669274730127,4.31107437022238,4.10113737784352,4.11139027170271,4.54462138981375,4.40608762884421,4.50166842946114
"FBgn0259818",2.03889616929673,1.59597620656262,1.10996893747822,1.16021673513654,1.00158609235403,1.0147409123877,1.04032435625159
"FBgn0031227",1.97999970086007,1.27427955503806,1.65825719117752,2.14769744361387,1.81894870007719,3.34947992992443,2.91841867563675
"FBgn0053635",2.59805071308018,1.81028679484595,1.87041996018208,2.57314666346932,1.98138507128443,3.61173895749895,3.64334827172151
