"","L1","L2","L3.12h","L3PS1.2","L3PS3.6","L3PS7.9","Female.1d","Female.5d","Female.30d"
"FBgn0031208",0.270317231906876,0.233051152494858,0.224171197792836,1.43698265173032,2.26298030375534,2.63050332538544,0.16056656842342,0.105029523848169,0.198621130359693
"FBgn0002121",4.05067582031712,4.8257245812491,4.44177560106342,4.51448209983078,4.98476249983112,4.99040126742115,4.49847427645205,5.81494001130628,5.53941940344972
"FBgn0051973",3.06061293381018,4.10507459410112,4.37181671259472,2.08026879951332,2.55994694289591,2.2524126312108,3.83601499754721,1.45300125090659,1.34051099761046
"FBgn0067779",2.2995260174448,2.91998833904285,2.44222959976976,2.86135196522402,3.60015079287889,4.00743772463917,2.83964522303744,4.17504548611091,4.06556369537677
"FBgn0031213",4.58634442140406,4.52166010914179,4.71985697909465,5.4005754992779,5.68711109217744,5.94569431097324,4.80114830673778,5.52394766859998,5.39219719318238
"FBgn0002931",1.19189107278252,0.801063439218673,0.955874444883583,2.08422077510029,2.63623946380601,2.45253481599067,1.31057279459715,0.788594678068942,0.901718410662743
"FBgn0031216",2.4521077772432,2.46221726360934,2.34900285969596,2.54771633046758,3.41250515164894,4.16485866847348,2.36351874015292,3.59037446595691,3.31260564083184
"FBgn0031217",4.40857600764255,5.42460302120621,4.59380192890496,4.039936745045,4.32463061526719,4.62233886524162,5.0421802892586,5.54896983008632,5.47832471148503
"FBgn0026787",3.49304523154878,3.44514797336299,2.99843382607755,4.05365007376509,4.230072328549,4.38796905115239,3.70704985138248,4.54012648833811,4.45204186494195
"FBgn0005278",8.66564858567454,7.64148822764755,8.20599357586652,6.80440210619052,6.52663851361632,6.21716478510208,7.73803819977708,7.96411556448862,7.92346417095609
"FBgn0031228",8.49577909357097,8.59898297103609,8.43664908645457,7.85818619146675,7.18010806871201,7.42526626559267,8.28730605941337,7.62785485297218,7.33353107311298
"FBgn0031229",4.34770817124548,4.44180215462887,4.26189181992647,4.45274697034094,4.62349233042773,5.1523051261013,4.5385381636298,5.71681260358321,5.62274297576037
"FBgn0031219",1.55450044552819,1.77361661855789,2.44387713143908,2.08482624204135,1.62050195753864,1.27815726546357,0.191466636277204,0.383578781184943,0.428290352112852
"FBgn0031220",1.97675954344909,2.35993716435585,2.99542662901224,3.96015951906394,5.68604663715673,6.62845137287856,3.02423278860318,3.02922846873731,3.40508426488937
"FBgn0025683",6.61938219599316,6.69636946603245,6.26853919327015,6.59773823764854,6.96438707950606,7.29640234162415,6.98128185405741,6.66696957247829,6.54523170253377
"FBgn0001142",6.9771310663323,7.52535636772451,7.82508598475518,7.79353828493898,8.9682203813588,9.48645092200076,6.91987634493112,7.15579982000919,7.17001516706472
"FBgn0051975",3.35308894005873,3.86849910795247,2.88481084198607,1.53761414565924,0.418186708963554,0.508078712175964,1.17815370535491,0.944422948489569,1.64217938113612
"FBgn0051974",5.94706529833655,6.60294971442324,5.82197801722724,4.13710180841195,2.23682321405861,2.83487703329136,4.8630216118281,4.4650014597163,4.79526303843622
"FBgn0031224",4.75001151161891,4.49823171658159,4.33179835530569,4.73343026993365,4.73832469386707,4.75709794032299,4.54462138981375,4.40608762884421,4.50166842946114
"FBgn0259818",1.42037460355082,1.65262416103751,1.17873376014372,0.920882455071642,1.21096233707189,1.24765413479915,1.00158609235403,1.0147409123877,1.04032435625159
"FBgn0031227",2.66057727588676,2.83174958134768,2.2654819045517,1.58901078860165,2.03310226909754,2.29410018207344,1.81894870007719,3.34947992992443,2.91841867563675
"FBgn0053635",2.11978775886682,3.18232840012372,2.75133088598515,2.99191089611895,3.29264041707685,3.60258752734256,1.98138507128443,3.61173895749895,3.64334827172151
"FBgn0016977",3.93854927376605,3.20743842482372,3.23150613884878,2.20881687975939,4.05528243550119,4.24071883789557,3.75899599905584,4.29011471613333,4.40812760067911
"FBgn0031231",6.15536875911172,6.45633962869188,6.05117630653909,4.93939115219507,4.50499531728288,4.72196864613497,5.71888764124466,6.08031229606909,6.2216915135109
"FBgn0031232",2.24699781461893,2.59473962233269,2.54522459658014,1.75939874870264,1.01689562658042,0.500751073533101,3.26083111150171,2.04353699137399,1.19867644345625
"FBgn0031233",2.68644674026838,2.69409345886777,2.59887968116371,3.12324736346818,3.74937336333901,4.21269383790515,3.58863669047191,4.54300706602608,4.55290574924755
"FBgn0086902",4.23270679951431,4.24556411467218,3.93179650175071,3.67587237353612,5.12368688663131,5.48825791280799,5.01491315812492,6.04034452321527,5.93495754595674
"FBgn0031235",0.0511724425801293,0,0.140026033518646,1.46630343979908,2.55868642021449,3.00666067203022,0.0158139627665581,0.071656144782132,0.123582240944864
"FBgn0022246",3.81933097031952,3.62636904454733,3.21548135786182,3.25647026093131,3.31648464890886,3.85130929591516,3.59242115632346,4.00472609358901,4.14800670823596
"FBgn0031238",4.40001868452879,4.04197010513839,3.7287912528639,2.91844729961073,3.2642842000366,3.36667890928454,3.9385116364432,4.29600947831253,4.45139576498001
"FBgn0031239",2.00569460521319,0.961032054049633,0.505850289860636,0.535204943385145,1.09465496496246,1.26189181992647,0.80884630980083,0.415967377169274,0.614931236651797
"FBgn0031240",0.294134304069185,0.186794644759205,0.348379741139943,2.67947559547487,3.62553936209755,4.04778265606802,0.242991440053302,0.16269214337087,0.241655946049742
"FBgn0086912",5.25301731252118,4.09927836999171,3.43281913843951,2.91476924155391,3.04133235925811,3.14631959683811,4.75931032388934,5.78164560112302,5.77648830453688
"FBgn0086856",5.1579289491876,4.89224043372321,4.26701135876785,3.70573466822242,3.68776618186739,4.06870520107858,4.38940849207451,5.50990482124978,5.26982237207224
"FBgn0086855",3.35925830161268,3.18823949072053,2.9009653183541,3.40518231763868,3.96391796186206,4.35551672152358,4.2595060114592,5.60905459822148,5.62370301631804
"FBgn0003444",2.27241442596684,2.0995914566807,2.14202779626855,2.60054332573822,3.18598702909681,3.63807383718072,3.0284948939233,4.20445376767456,4.16711703022744
"FBgn0031244",4.43647502901895,4.37244372293711,3.97966869655906,3.49678189044625,3.47165570739764,4.10217099259662,4.44482606194236,4.59626132993687,4.75455617859325
"FBgn0031245",6.0747473209694,6.29017923989312,6.29193502156813,6.60641113523102,6.03934241025773,6.06487638633805,5.71168211447042,5.40953350130923,5.43479500355054
"FBgn0025686",2.83732769522667,2.71506967937999,3.30519426186892,2.14927237441339,2.36692085218796,3.36829202747732,1.77463316392223,1.63141165195381,0.989744303529864
"FBgn0031247",4.65209636955975,5.33828534454503,5.14320564059543,4.54942274574666,4.89579700870513,5.10997896353927,4.69509741623874,5.24802242446897,5.2498472978987
"FBgn0017457",5.16289479937478,4.82688401786578,4.42908029352227,4.62175885670973,4.99804653133089,5.30895784543634,5.24850068102224,6.06575324026149,6.1077485382188
"FBgn0024352",6.49174408858624,6.35273028093016,5.9878279032287,5.6265647099503,6.29103252558246,6.92142442890398,6.35135447654158,7.48112130653612,7.39392238668557
"FBgn0020622",4.00834345852934,3.71056952303405,3.80010263918119,3.14325952724571,4.15433206675293,4.48974843312034,4.52860257275754,5.41626214303645,5.45641191639816
"FBgn0004611",4.15416191325558,3.28607236150631,3.07227047446345,2.76205960976024,3.48923463453202,3.93761746132,4.18068097407522,4.63044042006679,4.68093191635457
"FBgn0051920",0.21751488364283,0.0789945020872305,0.366179511533448,2.2855768113895,3.48110515681412,3.89173024658012,0.284202581712017,0.09841120288496,0.142219976326719
"FBgn0031248",4.71072930426553,5.70218099859033,5.84876814147335,9.90688758999072,10.46753422865,10.8988356457348,5.74908637273805,5.61414737784617,6.45151940343051
"FBgn0031249",7.97576200546323,7.94711674348627,6.48442496564074,9.98881247890122,8.18959726710012,6.27816507290976,8.22237954007322,7.80347245973652,8.42689789177425
"FBgn0053127",7.02419776489487,6.87205304089237,6.09260916460905,6.47290687197986,3.72130703121957,2.06943064773163,6.80326579025828,5.61498952318573,6.08135454181437
"FBgn0045202",0.0680117319657393,0.0357504390934181,0.1135132833361,2.03890670164723,3.39578122536309,3.90202532783359,0.234881411128487,0.0945109328140473,0.193510615614381
"FBgn0051921",0.111216847070292,0.0227140893032404,0.211754850031263,1.6264064274511,2.77818333952941,3.21537263206366,0.134691464230188,0.0537393109484495,0.0968521710725567
