"","Prepupae","Prepupae.12h","Prepupae.24h","Prepupae.2d","Prepupae.3d","Prepupae.4d","Female.1d","Female.5d","Female.30d"
"FBgn0031208",2.45751812353193,2.98375247214908,3.55990779759855,3.78153807206778,3.5661575735195,3.03661234496779,0.16056656842342,0.105029523848169,0.198621130359693
"FBgn0002121",5.04059439481352,4.73757860930209,5.1149707980768,4.50762975134305,4.25211284538821,3.32465509497535,4.49847427645205,5.81494001130628,5.53941940344972
"FBgn0051973",1.52761587343603,6.98785518269512,4.09851219936795,5.89024968277196,7.11606319326201,4.94275845265526,3.83601499754721,1.45300125090659,1.34051099761046
"FBgn0067779",3.95523839744965,3.98641093525204,4.3914034264568,4.50835892481237,3.38549868350901,2.86106208522204,2.83964522303744,4.17504548611091,4.06556369537677
"FBgn0031213",5.24489466825453,5.26016118462011,5.16624143053656,5.3858002922535,5.73685378096772,4.83517121131929,4.80114830673778,5.52394766859998,5.39219719318238
"FBgn0002931",1.98302459515537,2.2508039595833,2.4637558398212,2.85379808619639,2.8024765571747,1.76829867698939,1.31057279459715,0.788594678068942,0.901718410662743
"FBgn0031216",4.34707031548826,4.38404980679516,4.52010790163755,3.94673086014031,3.13211122284638,1.79192239942988,2.36351874015292,3.59037446595691,3.31260564083184
"FBgn0031217",4.66323644164912,4.40828387953386,4.70153242316108,4.25524389546378,3.40184887473608,3.30187878995547,5.0421802892586,5.54896983008632,5.47832471148503
"FBgn0026787",4.09605940269333,3.68242722269779,3.64288637281224,3.68149424341479,3.55108529810223,3.29496033954973,3.70704985138248,4.54012648833811,4.45204186494195
"FBgn0005278",6.03845813096335,5.93648718421587,6.48571340553257,6.42073839140435,6.57171776057362,6.56617432118652,7.73803819977708,7.96411556448862,7.92346417095609
"FBgn0031228",7.19542634590232,7.38712986268147,7.29359119789613,7.89910915087641,8.90231782765216,8.76354768388292,8.28730605941337,7.62785485297218,7.33353107311298
"FBgn0031229",5.22079426697096,5.17242750864548,4.99675931599853,4.59286960400361,4.11423374442709,3.72448656784934,4.5385381636298,5.71681260358321,5.62274297576037
"FBgn0031219",1.21661006874244,0.855893248725524,1.16453529687273,1.44257730332644,0.922706318300505,0.982960363814355,0.191466636277204,0.383578781184943,0.428290352112852
"FBgn0031220",6.41661514760531,5.27935614288659,5.36474400475596,5.43835606791961,2.75260088954716,1.94343378387025,3.02423278860318,3.02922846873731,3.40508426488937
"FBgn0025683",7.54516527594941,8.31232936230851,7.27073449309248,6.76748266025597,6.42889108728561,6.99712301427326,6.98128185405741,6.66696957247829,6.54523170253377
"FBgn0001142",9.75754502199615,8.06202994273671,7.68878182247544,7.45505591880619,7.3387542072674,6.70628188585102,6.91987634493112,7.15579982000919,7.17001516706472
"FBgn0051975",1.37277383886352,0.458920551773994,0.294782468698073,0.0812398080469997,2.80268010345706e-07,6.89123319295702e-07,1.17815370535491,0.944422948489569,1.64217938113612
"FBgn0051974",4.40031249087073,2.58295335176528,2.27123441966593,2.7474776324105,2.80780826926248,4.12563457206361,4.8630216118281,4.4650014597163,4.79526303843622
"FBgn0031224",4.63057438179819,4.93967323618226,5.03173483192466,4.66966177449817,4.22778727583724,4.00089239150139,4.54462138981375,4.40608762884421,4.50166842946114
"FBgn0259818",1.38323149481484,1.77518964050802,1.94551781283953,1.93471652130293,1.91376067635767,1.80974781027729,1.00158609235403,1.0147409123877,1.04032435625159
"FBgn0031227",2.28912622017512,2.18953678168984,2.33984715311383,2.26145258565413,1.6624971999649,1.12007319590552,1.81894870007719,3.34947992992443,2.91841867563675
"FBgn0053635",3.46127970716767,3.28586528663822,3.32135956103273,3.05079072990043,2.29150631427875,1.80950911156052,1.98138507128443,3.61173895749895,3.64334827172151
"FBgn0016977",4.38244592109257,4.42905350476663,4.74644713936282,4.46956042171122,3.46677066464546,3.10585404645998,3.75899599905584,4.29011471613333,4.40812760067911
"FBgn0031231",4.38644539903157,4.17083841908314,4.3148342638336,5.17038178255207,5.50681454303432,4.76631952870645,5.71888764124466,6.08031229606909,6.2216915135109
"FBgn0031232",0.375235207423487,0.684599736428003,0.554616354708176,2.90992859582629,5.00733904600816,3.32867851723338,3.26083111150171,2.04353699137399,1.19867644345625
"FBgn0031233",4.30315239985074,3.33167225825002,3.60337116195954,3.36957257053205,3.00106719951512,2.69255217863254,3.58863669047191,4.54300706602608,4.55290574924755
"FBgn0086902",5.46949204591837,5.39114561604296,6.12652896438131,5.87062610731196,4.50187220714302,3.56169272139831,5.01491315812492,6.04034452321527,5.93495754595674
"FBgn0031235",2.57741190837166,3.50907505819945,4.1018097317857,4.33736857193654,4.27383661871628,3.39656642296402,0.0158139627665581,0.071656144782132,0.123582240944864
"FBgn0022246",3.40360994682681,3.66420974921185,3.58738899564592,3.18187220693853,2.68269464042545,2.29112906436141,3.59242115632346,4.00472609358901,4.14800670823596
"FBgn0031238",3.19461031249393,3.23196686850325,3.51118969524936,3.58662064676684,3.20192393916014,2.63755228688009,3.9385116364432,4.29600947831253,4.45139576498001
"FBgn0031239",1.55246560745326,1.61248461195491,2.15017620666423,3.00559221449909,1.62157132932626,1.39553996192494,0.80884630980083,0.415967377169274,0.614931236651797
"FBgn0031240",3.93705243345715,4.7328878299576,5.37807458693202,5.72062049008993,5.86756045478876,5.50361269622205,0.242991440053302,0.16269214337087,0.241655946049742
"FBgn0086912",2.81465910854645,2.98192204707845,2.88172530128195,3.32364388129546,2.17781895224379,2.24520356508671,4.75931032388934,5.78164560112302,5.77648830453688
