"","GSM264753","GSM264987","GSM264988","GSM264989","GSM264990","GSM264991","GSM264992","GSM264994","GSM264995","GSM264996","GSM264998","GSM265000","GSM265001","GSM265004","GSM265006","GSM265008","GSM265009","GSM265011","GSM265014","GSM265016","GSM265018","GSM265019","GSM265021","GSM265022","GSM265023","GSM265024","GSM265026","GSM265027","GSM265028","GSM265029","GSM265030","GSM265031","GSM265032","GSM265033"
"NAT2",3.249,3.443,3.706,3.612,3.251,3.433,3.363,2.667,3.216,3.136,3.8,3.221,3.378,3.392,3.249,3.39,3.58,3.344,3.588,3.359,3.3,3.354,3.717,3.437,3.245,3.166,3.523,3.403,3.229,3.984,4.085,3.161,3.376,3.556
"ADA",8.056,6.959,6.598,7.253,6.555,7.192,6.639,7.204,6.406,6.324,6.717,8.194,7.572,7.218,7.731,7.487,7.008,7.182,6.855,8.119,6.526,7.453,6.898,8.641,9.463,5.587,7.156,7.082,7.699,5.987,7.549,8.34,7.018,8.311
"CDH2",4.407,4.833,4.829,4.607,4.303,4.734,4.661,4.219,4.339,4.524,5.318,4.485,4.975,4.591,4.484,4.205,4.818,4.56,4.902,4.369,4.874,4.243,5.19,4.594,4.588,4.261,4.603,4.69,4.132,4.827,5.238,4.389,4.297,4.941
"AKT3",4.992,5.875,5.398,5.087,5.626,6.018,5.329,6.066,5.143,5.461,5.34,6.21,5.784,5.05,6.276,6.209,6.096,5.891,5.643,6.095,5.283,6.031,5.933,5.584,5.775,5.982,5.868,5.846,5.789,5.773,5.444,5.579,5.514,5.813
"MED6",4.767,4.436,3.406,4.664,4.432,3.401,2.819,3.21,5.971,4.907,3.73,4.137,3.65,3.554,3.894,3.944,4.051,3.285,3.502,4.32,3.452,4.176,2.963,5.044,4.618,4.024,4.216,4.368,3.449,4.827,5.361,5.327,4.205,5.314
"NR2E3",4.665,4.926,5.052,5.234,4.923,5.095,5.145,4.451,4.738,4.981,5.416,4.835,5.191,4.989,4.655,4.461,4.973,4.831,4.981,4.452,5.058,4.527,5.44,4.567,5.169,4.935,5.041,5.275,4.795,5.256,5.469,5.018,4.812,5.737
"NAALAD2",3.087,3.009,3.198,3.296,2.968,3.174,3.284,3.205,2.993,3.01,3.247,3.157,3.147,3.187,2.952,2.898,3.087,3.08,3.054,3.146,3.257,3.004,3.303,2.908,3.033,3.35,3.045,2.942,3.004,3.174,3.105,3.122,3.2,3.145
"NAALADL1",5.287,4.888,4.566,5.311,5.058,4.711,4.764,4.494,4.738,4.813,4.718,4.961,5.389,4.63,4.973,4.785,5.098,4.736,4.604,5.3,4.424,5.207,4.436,4.911,4.886,4.564,5.063,5.36,5.074,4.707,4.968,4.961,4.826,5.496
"ACOT8",8.036,8.133,8.205,7.912,8.235,7.476,8.031,7.519,8.382,8.431,7.912,7.977,8.26,7.993,7.791,8.093,8.456,7.967,7.701,8.493,7.592,7.509,7.691,8.048,7.913,7.522,7.961,8.147,7.63,8.707,8.277,8.068,8.206,8.142
"ABI1",9.166,9.329,8.985,8.881,10.139,9.145,9.144,10.017,8.67,9.074,8.689,9.036,9.212,9.669,8.812,9.128,9.407,8.821,9.015,8.674,9.577,9.253,8.616,9.002,8.255,10.337,9.075,8.827,9.498,9.283,5.889,9.496,9.547,7.913
"GNPDA1",8.003,7.214,6.922,7.215,8.179,7.688,7.945,7.646,7.928,7.844,6.063,7.655,7.125,7.71,7.917,7.623,7.604,7.485,6.955,9.428,6.918,8.544,7.449,7.217,7.239,6.835,7.141,7.646,7.628,7.577,7.71,8.242,7.835,7.203
