"","GSM1274110","GSM1274111","GSM1274112","GSM1274108","GSM1274109"
"Spink7",5.0567621166,5.04602912806667,5.21967719063333,5.06133682653333,5.14931682726667
"Dbil5",5.18224104006667,5.2946192649,5.08391619225,5.28536069,5.43781659856667
"Negr1",5.19147573586667,5.0864608905,5.01170544176667,5.16366942083333,5.80827013606667
"C85492",5.19210576843333,5.32714944226667,5.12072926535,4.9431831893,5.0882891032
"Ccr8",5.11795536126667,5.16205356723333,5.4664643027,5.17895800023333,5.17029903073333
"Chrna7",4.98360518546667,5.0722483204,5.0222539036,5.47128651663333,5.11039213266667
"Cops3",7.50352468,7.5598896696,7.1392872785,6.2479179998,7.54384645966667
"Ccdc71",6.1098957479,6.41860091686667,6.1981452175,6.9650149279,6.709697252
"Abcg4",5.12808531863333,5.20863781203333,5.0833850436,5.03539457636667,5.1428273602
"Tusc2",7.3600137208,7.3959493189,7.415784962,6.74029051536667,7.68929974446667
"Tm6sf2",6.2488576961,6.1755507768,6.56600993086667,6.74602528276667,6.7290215478
"Klrg1",6.9890773154,7.4517275618,6.89728612623333,5.37504817516667,6.650044748
"Tnf",6.11973245526667,6.3862875864,6.57032548186667,5.6725112277,6.0540046696
"Pafah1b1",8.50922147686667,8.42794031753333,8.50081440426667,7.2566992616,8.138128238
"1110004F10Rik",9.25338344266667,9.51778498206667,9.33782691913333,9.23048019976667,10.140629644
"Krtap5-5",7.1431754802,7.1464088745,7.3130304444,9.10392270223334,7.3366785829
"2610029I01Rik",7.3004350044,7.3772175268,7.2091166922,6.67211284753333,7.3566735212
"Gm3366",5.43382156836667,5.23547950096667,5.25501962003333,5.87639362743333,5.31489782493333
"Gm2675",5.18133997383333,4.98340554063333,5.04337617526667,5.12068361496667,5.16966948986667
"Bnip3l",13.1852243513333,11.4690668126667,12.5381437146667,14.59670679,12.0610454076667
"2010001M09Rik",10.2278969873333,10.5632390936667,10.97106859,9.2537410926,10.1334253623333
"Notch2",9.1825652428,9.43550336156667,9.67965758756667,7.91225364993333,8.973245663
"Defb19",4.99510758566667,5.3036402356,5.21350358586667,5.1928032979,5.1340733517
"Hipk1",9.6769283271,8.2715118628,8.96909736943334,11.2717317926667,9.1816943325
"Cyp39a1",6.1782586366,6.85842768296667,6.66312244626667,9.025834331,7.0300386929
"Zzz3",7.57238653793333,6.87759246176667,6.90791474936667,5.16208945996667,6.5616055998
"Gfod2",6.44969611566667,6.34753010966667,6.1461175354,5.70625928806667,6.2031006891
"Pldn",8.5856068802,8.51074352826667,8.51769484666667,7.61222095753333,8.47989664666667
"Wdr34",13.99545505,13.6677961756667,13.8724130866667,14.16933432,13.653898433
"Mrfap1",10.6043419013333,10.5044063376667,10.418562244,10.2273192106667,10.2529950143333
"Mast4",6.44763377533333,6.3224263492,6.49321237866667,5.60526528363333,5.9481760611
"Scube3",5.09160659676667,4.9828503569,4.98744825266667,5.46702043823333,5.14042301251667
"Map4k2",9.72954869096666,9.455616128,9.58826974853333,9.8216523671,10.1239114016667
"Shh",4.96657774393333,4.96102804363333,5.14815856736667,5.05189804666667,5.0615896595
"Ckap5",8.17343520106667,7.9764978146,8.00625843973333,6.31764032346667,7.2101103099
"Cd34",5.28103963886667,5.7562942231,5.45400700196667,5.41133810676667,5.11755495746667
"Blvrb",12.0882131376667,9.70228669363333,10.68760682,12.6474657996667,9.79867411583333
"4930547C10Rik",5.04608010076667,5.19706970963333,5.25873440913333,5.08693825783333,5.0205933764
"Olfr462",5.02925157926667,5.4069212252,5.33289403616667,5.90662121203333,5.09511114513333
"Klra22",10.64103891,10.96523608,11.11170627,10.174061506,11.01249469
"Rbm26",7.85628556333333,8.02312932266667,7.9453264124,6.1567446593,7.5611246714
"Gm2824",6.16656127396667,5.98099861696667,7.0674485128,6.12877607346667,5.9625569587
"Fbxl2",6.2161175988,6.38110020706667,5.80378405816667,5.44131233793333,5.8510374823
"Eno1",12.581330929,12.532370278,12.567885782,12.8188448833333,12.98946577
"Afap1l2",4.97870505853333,5.22095639376667,4.99638025883333,5.11839243853333,5.0165046847
"Tm2d1",7.0837147609,7.61994019526667,7.757710464,5.67651582143333,7.2971662929
"Xpnpep2",5.23222022366667,5.47962814553333,5.50086134386667,5.08218016223333,5.3332442708
"Atp11c",6.90172122713333,7.44698963086667,7.2451177733,5.57402329526667,6.85969887806667
"Gata1",9.62427808953333,9.4993061219,8.62846157046667,9.73090125593333,9.78366880463333
"9430091E24Rik",6.44339641486667,6.33553932873333,6.2034827492,5.33351367523333,5.94100791586667
"Skint2",5.0508327477,5.03992795146667,5.06497614943333,5.1358539558,4.98924175576667
"Olfr616",5.11291117093333,4.99939147493333,4.99340985715,5.13871489853333,5.10998201686667
"Stx8",7.60133820586667,7.72824666066667,7.46995435326667,5.78693046376667,7.7080920848
"Tmem149",10.64299783,10.0543697176667,10.379201337,10.1716888663333,10.5405269336667
"Cebpg",6.5235925544,6.70315500873333,6.5000321168,5.4616288692,7.1311291909
"Ak2",10.4424198293333,10.36222482,10.4840396476667,9.4429062537,10.0698794353333
"3110009E18Rik",6.9472055747,7.47401802266667,7.62267114633333,6.204240376,7.4319753143
"Rab37",9.44174954946667,9.5029654439,9.25716032986667,8.9411905478,9.67078863786667
"Krtap16-8",6.64778515953333,6.273120789,6.30558675746667,6.410109537,6.64101421406667
"Col14a1",5.182492487,5.88865294876667,5.11144514548333,8.19441969813333,5.85789966996667
"Mrpl28",7.8367950656,7.99450151586667,7.71420291766667,7.1064044788,7.9951279896
"Smarcd1",5.97775277976667,6.09482522926667,6.0822141671,5.847056885,6.40089414226667
