"","GSM178612","GSM178613","GSM178614","GSM178615","GSM178628","GSM178629","GSM178630","GSM178631"
"Zglp1",3.738,3.107,4.212,4.282,3.993,3.832,3.802,3.927
"Oog3",3.454,3.517,3.792,3.404,3.277,3.472,3.459,3.366
"Ldlrap1",5.858,5.595,5.014,6.06,5.795,6.222,5.832,6.103
"Mdn1",6.758,6.111,5.826,6.914,7.325,7.156,7.356,7.489
"Wfdc17",11.254,11.671,11.199,11.429,10.723,10.027,11.002,9.726
"9330171B17Rik",2.642,2.775,2.779,2.684,2.612,2.712,2.721,2.661
"1700024h08rik",3.161,3.363,3.174,3.203,3.152,3.2,3.116,3.422
"2610305J24Rik",3.46,3.328,3.041,3.548,3.593,3.239,3.327,3.168
"A930017K11Rik",3.162,3.109,3,2.801,2.941,2.877,2.778,2.834
"Gata5os",4.388,4.465,4.39,4.174,4.153,4.123,4.269,4.218
"Gm16039",3.666,3.997,3.55,2.828,7.72,6.797,6.806,6.685
"Gm16982",3.438,3.286,3.324,3.42,3.649,3.521,3.409,3.441
"Gm9872",3.252,3.183,2.626,4.472,3.117,2.383,2.853,2.762
"Gm11149",3.061,3.278,2.912,3.122,3.096,3.181,3.197,2.961
"BC028777",2.64,2.792,2.897,2.956,2.662,2.688,2.692,2.696
"Gm13999",3.111,3.282,3.64,3.205,3.042,3.171,2.992,2.985
"Gm9744",2.685,2.923,2.739,2.992,3.094,2.789,2.868,2.859
"Gm9983",5.651,6.292,6.273,6.012,6.566,7.225,6.88,7.101
"Gm11696",3.606,3.553,3.735,3.452,4.134,3.371,3.62,3.947
"Dnajc3",7.927,7.221,4.958,7.767,8.492,8.641,8.836,8.511
"Gm12359",3.139,3.102,3.828,2.95,2.92,3.401,3.443,3.329
"Fam129c",4.885,4.605,3.98,4.629,7.606,8.188,7.676,8.479
"Rnaset2a",3.15,3.184,3.018,2.922,3.347,3.404,3.08,3.264
"5430403G19Rik",3.26,3.713,3.363,3.384,2.967,3.317,3.429,3.492
"Fam174b",5.517,5.673,5.385,6.406,6.165,6.201,6.377,5.691
"Gm10857",3.169,3.265,3.318,3.101,2.894,3.117,3.037,3.274
"Zfp389",2.465,2.507,2.625,2.478,2.394,2.435,2.484,2.503
"Gm10785",4.438,4.245,4.331,4.094,4.131,4.756,5.217,4.961
"Gm10512",3.733,4.176,3.459,3.653,3.866,3.346,3.512,3.517
"BC025933",3.724,3.45,3.684,3.286,3.236,3.442,2.972,3.27
"Gm10643",3.399,3.816,3.776,3.25,3.842,3.488,3.655,3.651
"E330027M22Rik",3.08,2.937,3.251,2.872,2.866,3.058,2.997,2.899
"Apela",3.273,3.43,3.272,2.997,2.942,3.029,3.193,3.153
"G730007D18Rik",3.63,3.411,4.354,3.704,4.236,4.418,4.343,4.791
"Gm10523",3.254,3.862,3.19,3.164,3.603,3.133,3.045,3.15
"Gm10804",4.455,4.876,4.102,4.112,4.479,3.753,3.958,3.753
"Gm10658",3.437,4.109,3.718,3.54,3.471,3.483,3.848,3.722
"Gm11744",2.822,2.689,2.843,2.897,3.218,2.598,2.528,2.76
"Gm12863",2.841,3.46,3.047,3.028,2.992,2.92,2.792,2.869
"6820445E23Rik",3.561,3.413,3.765,3.456,3.64,3.647,3.922,3.565
"Gm10632",3.731,3.588,3.788,3.338,3.062,3.582,3.573,3.486
"Gm10710",3.223,3.785,3.325,2.915,2.968,3.013,3.416,2.987
"Gm11691",3.015,3.143,3.427,2.874,3.219,3.004,3.128,3.352
"Gm10791",2.735,3.122,2.98,2.947,2.654,2.927,3.026,2.705
"Gm10839",2.713,2.975,3.174,3.064,2.699,2.889,2.94,2.818
"Gm10776",3.699,3.963,3.64,3.18,4.212,3.615,3.517,3.64
"Gm10699",3.202,2.795,3.054,3.122,2.939,3.053,2.822,3.076
"D130062J21Rik",7.486,6.763,7.323,6.896,8.159,8.651,8.608,8.605
"9830004L10Rik",3.137,3.515,3.272,3.188,3.276,3.292,3.239,2.884
"Gm1971",2.997,2.944,3.231,2.825,2.769,2.921,2.883,3.344
"Gm10421",3.091,2.803,2.928,3.299,3.117,3.279,2.963,3.125
"Gm10796",4.258,4.294,3.932,3.604,4.85,3.841,3.499,3.284
"Gm10309",3.912,3.384,3.361,3.957,3.473,3.449,3.343,3.324
"Gm11681",2.986,3.128,3.088,3.477,3.264,3.145,3.389,3.293
"Gm13629",2.59,2.465,2.497,3.11,2.722,2.631,2.259,2.558
"Gm1976",2.849,3.159,3.21,2.987,3.02,2.675,3.072,3.15
"Gm10700",3.09,3.249,2.992,3.168,3.073,3.016,2.883,3.071
"BC038268",2.907,2.697,2.709,2.811,3.233,2.924,2.642,2.817
"Gm17244",2.799,2.997,2.877,2.76,3.031,2.718,2.796,2.902
"Unc45bos",3.118,2.755,2.878,3.415,3.3,3.03,2.871,2.901
"Trav9d-3",8.558,7.766,7.427,7.625,8.921,8.69,8.489,8.505
"Mup10",2.704,3.38,4.071,5.868,2.56,2.754,7.637,2.931
"Gm2011",2.957,3.243,3.213,2.95,2.971,3.066,2.84,2.736
"Gm2044",2.618,2.923,3.541,2.867,2.944,2.798,2.692,2.812
"Gm2087",2.691,2.597,2.6,2.898,2.976,3.081,2.761,2.748
"Gm2102",2.867,2.817,2.814,2.996,3.184,2.998,2.667,3.02
"Gm2115",3.666,4.205,4.402,3.365,3.292,3.53,3.503,3.547
"Cphx3",2.91,2.859,3.168,2.45,2.361,2.75,3.011,2.697
"Gm2136",2.515,2.816,2.697,2.426,2.389,2.32,2.688,2.609
"Gm2137",3.3,3.359,3.119,3.262,3.267,3.218,3.166,3.174
"Gm2164",2.697,2.519,2.794,2.711,2.696,2.688,2.63,2.695
"Gm10399",3.497,3.168,3.222,3.395,3.381,3.427,3.035,3.485
"Gm15706",4.281,5.171,5.3,5.606,5.871,5.721,5.734,5.047
"1110002E22Rik",2.712,3.163,3.145,2.477,2.633,2.582,2.633,2.767
"E330012B07Rik",2.641,3.12,3.063,2.405,2.61,2.712,2.808,2.826
"Zcwpw2",2.76,2.649,2.756,2.938,2.75,2.909,2.692,2.732
"5031434O11Rik",4.635,4.531,4.094,4.19,4.812,5.649,5.199,5.103
"Gm2381",3.35,3.424,3.841,3.163,3.302,3.452,3.493,3.204
"Hrct1",3.514,3.194,3.86,3.501,3.533,3.469,3.404,3.55
"Ildr2",4.115,6.262,4.452,6.116,3.633,4.011,5.178,3.876
"Gm2453",2.974,3.051,2.764,2.928,2.741,2.629,2.842,2.839
"Gm2461",4.179,4.962,5.136,3.521,3.767,4.24,4.178,4.061
"Snhg12",9.466,9.664,9.454,9.164,9.325,9.042,8.7,9.111
"Gm12942",4.812,4.909,4.422,4.972,5.86,6.367,5.816,5.768
"1810010D01Rik",3.911,4.145,4.453,3.846,3.706,3.732,4.029,3.862
"Gm2590",7.168,7.042,4.11,5.711,6.044,6.314,6.614,6.252
"Gm10229",2.982,3.251,3.262,3.29,2.938,3.122,3.259,3.051
"Gm11563",3.643,3.774,4.513,3.57,3.567,3.527,3.751,3.723
"Krtap6-3",2.754,3.314,3.318,2.916,2.916,3.072,2.913,2.978
"Gm2682",5.789,5.199,3.596,4.893,5.488,5.583,5.119,4.038
"Olfr157",3.451,3.529,3.503,3.576,3.324,3.501,3.399,3.433
"Gm2694",2.61,2.605,2.917,2.451,2.389,2.522,2.505,2.487
"Gm2701",3.228,3.323,3.496,3.427,3.492,3.588,3.707,3.457
"3830408C21Rik",3.594,3.415,3.222,3.597,4.042,3.335,3.443,3.595
"2810416G20Rik",4.639,5.7,5.692,6.011,6.29,5.263,5.569,5.688
"Gm2762",2.954,2.984,3.217,3.091,3.057,2.814,2.923,2.855
"Gm2769",3.342,3.486,3.661,3.255,3.225,3.372,3.395,3.354
"1700036A12Rik",3.152,3.092,3.429,2.88,2.916,2.796,3.308,3.277
"Gm2788",3.608,3.335,3.363,3.769,3.433,3.196,3.783,3.448
"Gm2824",2.656,2.338,2.337,2.356,2.728,2.454,2.333,2.388
"Kcnj13",2.943,2.818,2.943,2.452,2.609,2.865,3.462,2.745
"Fancf",3.255,3.105,3.359,2.579,3.997,3.693,4.08,3.602
"Mirg",3.868,4.42,4.631,3.685,3.314,3.736,3.9,3.823
"Mroh2a",4.541,4.461,4.963,5.093,4.849,4.46,4.142,3.909
"Gm15506",2.918,3.329,3.653,3.502,3.02,3.344,3.152,3.307
"Gm11627",2.506,2.68,2.885,2.787,2.853,2.869,2.786,2.756
"Gm2990",3.129,2.971,3.351,2.968,2.939,2.982,2.823,2.859
"1700017G19Rik",3.204,2.567,2.979,2.931,2.859,2.649,2.591,2.557
"Tceal7",2.767,2.729,2.631,2.584,2.821,2.714,2.727,2.741
"Gm3120",2.766,2.845,3.392,3.067,2.974,3.068,3.114,3.174
"Gm3134",2.833,2.951,3.219,2.57,2.673,2.786,2.831,2.791
"Ahnak2",3.329,3.055,3.803,3.477,3.38,3.546,3.442,3.263
"Gm3227",4.194,4.415,5.123,3.955,4.708,4.862,5.04,4.844
"D4Ertd617e",3.776,3.428,3.482,3.759,3.81,3.908,3.544,3.936
"Gm11985",2.776,2.535,2.601,2.548,2.789,2.575,2.441,2.551
"Gm13247",2.815,3.209,3.204,2.7,2.916,2.959,2.962,3.156
"Gm3363",4.04,3.185,3.906,4.091,4.043,3.539,3.452,3.437
"Gm3435",6.296,6.32,6.628,6.457,6.648,6.481,6.377,6.533
"Gm3458",2.977,3.292,3.046,2.862,3.347,2.86,3.206,3.152
"Gm10451",3.603,3.298,2.861,2.868,3.177,3.538,3.234,3.265
"Gm3515",3.4,4.079,4.005,3.36,3.338,3.463,3.849,3.632
"Gm3556",6.742,6.646,6.255,6.356,6.554,6.188,6.47,6.303
"9230110K08Rik",2.938,2.466,2.905,3.136,3.658,2.812,2.899,2.905
"Gm3604",2.51,2.783,2.708,2.686,2.719,2.577,2.429,2.507
"Gm3609",6.046,6.859,6.498,6.228,6.016,6.207,6.531,6.684
"9130019P16Rik",3.348,3.475,3.156,3.081,3.091,3.153,3.12,3.318
"Gm12371",2.867,2.603,2.938,2.641,2.725,2.891,2.655,2.826
"Nrg2",4.626,3.821,3.992,4.832,4.603,4.782,3.734,4.461
"BC005561",2.837,3.335,3.635,2.934,3.039,3.142,3.113,3.065
"Rps15a-ps6",4.565,3.617,3.121,4.274,3.691,3.999,4.019,4.291
"Gm13111",3.049,3.22,3.432,2.868,3.09,2.982,2.956,3.086
"Gm3715",3.231,3.426,2.891,3.56,2.975,2.63,2.938,3.049
"Gm13446",3.098,2.923,3.349,3.027,3.057,3.029,2.946,3.084
"Gm3716",3.101,3.165,3.147,3.32,3.006,2.935,2.994,3.129
"Gm3764",4.259,3.972,4.491,4.375,4.096,4.109,4.302,4.245
"2810410L24Rik",3.095,4.162,3.778,2.631,2.673,3.072,3.706,2.878
"D830025C05Rik",3.023,2.899,3.047,3.013,3.606,3.146,2.913,3.283
"Gm16532",2.506,2.597,2.582,2.454,2.837,2.531,2.359,2.587
"2610203C20Rik",2.991,3.006,3.324,2.598,2.883,2.992,3.107,3.079
"Nhsl2",5.483,5.912,4.866,5.908,7.696,6.991,6.546,5.904
"4732419C18Rik",3.111,3.267,3.118,3.018,2.808,2.936,2.995,2.971
"Mir22hg",7.933,8.11,7.819,8.065,5.189,4.788,5.009,5.05
"Gm3916",2.696,2.86,2.726,2.786,2.854,2.749,2.704,2.615
"Gm3924",3.852,4.708,3.571,4.959,3.635,3.795,3.129,3.776
"Rbakdn",3.575,3.536,3.37,3.484,3.572,3.696,3.562,3.691
"Gm3948",2.426,2.408,2.495,2.476,2.292,2.399,2.444,2.401
"Gm16386",2.61,2.665,2.513,2.347,2.808,2.521,2.393,2.449
"Gm4022",2.88,2.992,3.009,2.602,2.805,2.785,2.725,2.868
"Prdm11",4.701,3.899,4.327,4.416,5.086,5.001,5.047,4.961
"Gm15234",2.904,3.159,3.664,2.843,2.515,2.944,2.882,2.843
"Gm4047",3.945,3.617,3.569,4.411,4.504,4.002,4.007,4.192
"C920021L13Rik",3.793,3.178,4.161,3.404,5.143,5.031,3.905,5.267
"Gm4117",3.061,3.352,3.332,3.102,2.798,3.26,3.301,3.216
"Gm4132",3.113,4.068,4.019,3.24,2.808,3.218,3.43,3.375
"Rex2",2.705,2.649,2.719,2.76,2.719,2.697,2.538,2.592
"1110002L01Rik",3.601,3.047,4.71,5.495,7.355,6.82,6.287,6.976
"Tmem207",3.383,3.512,3.715,3.325,3.622,3.66,3.432,3.353
"A230070E04Rik",2.723,2.602,2.984,2.327,2.196,2.407,2.752,2.566
"4632428C04Rik",3.11,2.97,3.269,2.972,3.032,2.867,2.895,2.872
"Gm4251",3.019,3.4,3.351,2.933,2.908,3.03,2.684,2.887
"9130023H24Rik",3.376,3.738,4.097,4.238,5.483,4.999,4.705,4.466
"Gm4274",2.891,2.266,2.948,2.861,4.362,5.267,4.715,4.416
"BB114814",3.303,3.476,3.592,3.344,3.299,3.203,3.158,3.218
"Gm4285",7.357,6.828,6.162,6.999,6.279,5.449,4.731,5.047
"Sult2a2",2.913,3.572,2.908,3.226,2.835,2.841,2.824,3.065
"5330434G04Rik",3.086,3.181,3.387,3.131,3.116,3.351,3.178,2.992
"3110099E03Rik",2.908,3.428,3.665,2.882,2.756,2.891,3.165,2.888
"Trav12n-2",4.753,3.883,4.024,3.745,4.203,4.277,3.882,3.95
"5430417L22Rik",9.183,9.556,9.605,9.485,9.515,9.571,9.834,9.472
"Gm4349",4.642,4.817,4.75,4.254,4.142,4.457,4.528,4.444
"LOC100043315",2.986,2.795,2.876,2.824,2.795,2.851,2.915,2.938
"Gm4354",9.037,9.035,8.841,8.903,9.144,8.938,9.199,9.113
"Ankrd66",4.535,3.968,3.374,4.94,3.621,4.335,4.336,4.084
"Gm4371",2.704,2.563,2.711,2.864,2.672,2.616,2.511,2.742
"Gm4415",2.809,3.188,2.794,2.191,5.238,4.442,3.747,3.697
"Gm14005",8.729,8.485,8.626,8.963,9.55,9.014,9.172,8.737
"Gm4432",6.632,5.549,4.27,5.131,6.132,5.783,5.762,5.531
"Zfp955b",6.794,6.581,7.358,6.825,6.852,6.954,6.911,7.312
"1300002E11Rik",5.103,5.682,5.718,5.38,6.412,6.863,6.511,5.968
"Gm4491",2.605,2.781,2.866,2.477,2.611,2.425,2.622,2.538
"Srcap",5.956,5.308,5.042,5.1,4.541,5.433,5.229,5.443
"AI662270",7.657,7.346,8.739,8.413,9.386,9.287,9.02,9.101
"Gm14057",4.894,6.295,4.401,5.039,5.687,4.399,4.149,4.396
"Zfp850",5.513,5.418,5.733,5.906,5.705,5.573,5.631,5.466
"Gm4640",2.616,2.289,2.601,2.743,2.485,2.551,2.356,2.724
"Gm4665",2.404,2.554,2.372,2.553,2.479,2.494,2.41,2.485
"9030622O22Rik",3.252,3.519,3.43,3.277,3.374,3.157,3.35,3.462
"Six3os1",3.018,3.189,3.22,2.882,2.684,3.011,3.089,3.046
"Ppp4r1l-ps",3.713,3.715,3.929,4.501,4.266,4.841,4.066,4.514
"Copg2os2",3.219,3.903,2.867,3.009,3.067,3.134,3.368,3.01
"Gm17767",2.876,3.43,3.031,2.612,3.176,3.2,3.001,3.228
"Gm14204",4.831,4.922,4.51,3.904,4.565,4.38,4.471,4.28
"LOC100047044",3.012,3.913,4.27,3.245,2.901,3.029,3.493,3.222
"LOC100047123",3.943,3.968,4.294,4.574,3.228,3.631,3.795,5.109
"Wdr96",3.329,3.158,2.969,2.932,2.91,2.909,3.149,3.015
"Ddx43",4.13,3.316,3.545,3.367,3.454,3.247,3.806,3.612
"AI847159",2.795,2.795,2.747,2.876,2.909,2.79,2.571,2.803
"D930003E18Rik",3.292,3.368,3.365,2.805,2.93,3.199,3.59,3.204
"LOC100049077",2.993,2.694,2.763,3.364,3.092,2.832,2.604,2.768
"Gm13032",3.238,2.963,3.004,3.582,3.388,3.306,2.917,3.405
"BC001981",3.767,4.617,4.322,3.859,3.656,3.658,4.031,4.01
"Gm9777",3.223,2.956,2.716,3.533,3.454,3.29,3.081,3.009
"Gm16499",3.647,4.11,3.761,3.649,3.444,3.558,3.352,3.806
"Gm10392",5.139,5.199,5.635,5.181,5.228,4.905,5.437,5.079
"Gm10199",4.037,4.016,4.402,4.473,3.045,3.346,3.501,3.415
"Lrrc19",3.463,3.45,3.345,3.336,3.411,3.455,3.053,3.367
"Cyp2j11",3.655,3.4,3.445,3.428,2.977,3.269,3.938,3.142
"Camta1",6.016,6.136,5.908,5.767,5.865,6.327,5.99,6.172
