"","GSM515542","GSM515543","GSM515544","GSM515545","GSM515546","GSM515547","GSM515548","GSM515576","GSM515577","GSM515578","GSM515579","GSM515522","GSM515523","GSM515524","GSM515525","GSM515526","GSM515555","GSM515556","GSM515557","GSM515558","GSM515559","GSM515560","GSM515561","GSM515580","GSM515581","GSM515591","GSM515592","GSM515593"
"Ldlrap1",7.441,6.323,7.161,7.676,7.387,7.434,7.565,7.26,6.975,7.364,6.996,7.001,7.25,5.693,6.274,4.671,6.819,6.595,6.643,6.902,6.488,6.575,7.049,6.85,6.168,6.695,6.614,6.199
"Mdn1",3.262,3.854,3.474,3.505,3.562,3.682,3.403,3.81,4.135,3.351,3.888,3.739,3.384,4,3.87,4.076,4.175,3.375,3.721,4.107,3.645,3.95,3.428,3.771,3.838,3.251,3.103,2.86
"BC028777",2.333,2.263,2.613,2.294,2.453,2.569,2.362,2.732,2.593,2.444,2.903,2.433,2.471,2.457,2.356,2.528,2.781,2.574,2.234,3.065,2.543,2.711,2.328,2.509,2.521,2.617,2.429,2.501
"Gm13999",3.469,3.846,4.048,3.053,3.312,3.705,3.62,3.285,3.93,3.2,3.195,3.691,3.478,4.379,3.951,4.06,3.484,3.814,3.456,3.783,3.605,3.593,3.802,3.487,3.512,3.325,3.408,3.237
"Gm9744",3.089,3.386,2.885,3.621,3.549,3.617,3.215,3.347,3.733,3.283,3.505,3.315,3.361,3.658,3.655,3.376,3.905,3.211,3.066,3.417,3.323,3.715,3.309,3.293,3.233,3.272,2.723,3.28
"Gm9983",5.352,5.458,4.777,5.123,5.124,4.716,4.745,5.356,5.117,5.09,5.158,5.45,5.41,4.838,4.96,4.694,5.15,5.108,5.281,5.104,4.918,5.303,4.872,5.261,5.073,5.652,5.177,5.234
"Dnajc3",4.555,5.226,4.166,4.877,5.2,4.929,4.726,4.32,3.905,5.193,4.76,3.997,4.374,3.591,3.95,4.106,3.716,4.047,3.685,4.155,4.247,4.243,4.317,4.355,4.916,4.833,5.5,5.244
"Fam174b",5.804,6.639,6.34,6.665,6.632,6.633,6.542,6.128,6.677,6.044,6.058,6.664,6.368,5.258,6.731,5.329,6.56,6.533,6.211,6.76,6.997,6.323,7.107,6.327,5.749,6.719,6.212,6.266
"BC025933",2.85,2.927,3.009,2.997,2.999,2.994,3.043,3,2.965,2.824,3.1,3.174,3.218,3.609,3.378,3.438,3.05,3.194,2.743,3.213,3.371,3.417,2.654,3.095,3.154,2.843,2.437,2.794
"Gm1976",2.46,2.824,2.447,2.615,2.907,2.242,2.49,2.386,3.177,2.486,2.685,2.821,2.181,3.021,3.134,2.645,2.997,2.359,2.424,2.772,2.447,2.552,2.518,2.519,2.395,2.335,2.037,1.963
"BC038268",3.314,3.11,3.007,3.381,3.054,3.447,3.167,2.85,3.538,3.06,3.412,3.15,3.371,4.079,3.399,3.198,3.295,3.381,3.202,3.746,3.664,4.173,3.13,3.205,3.149,2.848,2.618,2.89
"Trav9d-3",8.713,6.921,8.755,8.16,7.925,8.569,8.381,7.894,8.318,8.363,8.31,9.302,9.306,9.154,8.924,8.716,9.773,9.327,9.512,9.389,9.051,9.107,9.069,9.196,8.14,9.706,8.985,8.582
"Cphx3",5.899,6.252,6.636,6.447,6.451,6.555,6.503,5.806,6.13,5.858,5.916,6.623,6.382,7.157,6.999,6.775,6.692,6.552,6.446,6.943,7.101,7.128,6.743,5.907,5.77,5.718,5.895,5.819
"Gm10229",2.995,3.284,3.433,3.19,3.492,3.462,3.044,3.476,3.181,3.066,3.345,3.233,3.114,3.473,3.506,3.296,3.178,2.922,2.723,2.981,3.326,3.142,3.302,3.3,3.383,2.995,2.823,2.858
