"","GSM1099753","GSM1099754","GSM1099755","GSM1099756","GSM1099745","GSM1099746","GSM1099747","GSM1099748"
"Zglp1",4.051,3.947,4.056,4.009,3.748,4.238,4.022,3.874
"Oog3",3.44,3.026,3.58,3.421,3.409,3.056,3.606,3.372
"Ldlrap1",5.671,5.656,5.543,4.614,5.655,6.502,5.832,5.301
"Mdn1",7.27,7.41,7.547,6.98,6.812,7.271,7.249,6.823
"Wfdc17",11.812,11.242,11.635,11.3,10.032,11.403,11.011,11.77
"9330171B17Rik",2.794,2.69,2.804,3.154,2.937,2.959,2.689,2.868
"1700024h08rik",3.052,3.068,3.215,3.251,3.076,3.398,3.169,3.246
"2610305J24Rik",3.354,3.635,3.306,3.99,3.076,3.423,3.553,3.552
"A930017K11Rik",3.076,2.904,2.963,3.129,3.146,3.103,2.876,2.824
"Gata5os",4.526,3.839,4.276,4.466,4.583,4.112,4.445,4.241
"Gm16039",6.814,6.944,6.751,6.671,6.189,7.652,7.259,6.424
"Gm16982",3.791,3.283,3.305,3.867,3.606,3.475,3.532,3.41
"Gm9872",2.94,3.169,2.788,2.947,2.791,3.405,3.798,2.792
"Gm11149",3.286,3.098,3.397,3.464,3.123,3.027,3.033,3.556
"BC028777",2.704,2.752,2.744,2.46,2.894,2.716,2.778,2.651
"Gm13999",3.149,2.943,3.15,3.117,3.224,3.606,3.003,3.386
"Gm9744",2.974,3.092,3.009,2.978,2.894,2.828,3.072,2.792
"Gm9983",6.356,6.414,5.654,6.475,7.053,6.907,6.414,6.343
"Gm11696",3.829,3.592,4.502,3.824,3.499,4.24,3.502,3.37
"Dnajc3",8.332,8.793,8.23,8.772,8.587,8.774,8.989,7.742
"Gm12359",3.519,3.173,3.499,3.333,3.38,3.273,3.07,3.299
"Fam129c",6.742,7.205,6.641,6.992,7.92,6.815,7.189,6.826
"Rnaset2a",3.747,3.62,3.081,4.479,3.256,5.074,3.562,3.165
"5430403G19Rik",3.366,3.068,3.417,3.434,4.217,3.11,3.541,3.328
"Fam174b",6.201,6.874,5.618,6.477,5.798,6.751,5.924,6.36
"Gm10857",3.142,3.336,3.368,2.818,3.179,3.787,3.123,3.23
"Zfp389",2.428,2.519,2.538,2.47,2.413,2.588,2.436,2.522
"Gm10785",4.584,5.513,5.642,5.76,5.37,6.125,4.955,4.363
"Gm10512",3.717,3.348,4.046,3.705,3.881,3.733,3.384,3.99
"BC025933",3.468,3.952,3.774,3.816,3.53,3.461,4.227,3.715
"Gm10643",3.829,4.096,3.358,3.781,3.934,4.803,3.499,3.519
"E330027M22Rik",2.794,3.151,2.951,2.973,3.13,2.893,2.896,3.058
"Apela",3.506,3.243,3.455,3.375,3.452,3.369,3.269,3.294
"G730007D18Rik",4.014,4.599,4.515,3.506,4.275,3.683,3.859,4.503
"Gm10523",3.386,2.921,3.434,3.274,3.196,3.461,3.291,3.496
"Gm10804",4.106,3.906,4.656,4.475,3.697,4.41,3.878,3.899
"Gm10658",3.348,3.17,3.55,3.542,3.361,3.439,3.313,3.65
"Gm11744",2.665,2.97,2.856,2.976,3.047,2.491,2.746,2.719
"Gm12863",2.978,2.795,2.964,2.71,3.293,2.899,2.978,3.194
"6820445E23Rik",3.29,3.373,3.437,3.506,3.539,3.249,3.448,3.542
"Gm10632",3.638,3.751,3.775,3.534,4.041,3.092,3.656,4.004
"Gm10710",3.32,2.656,3.11,2.947,3.224,2.831,3.099,3.477
"Gm11691",3.51,3.157,3.073,3.194,3.917,2.958,3.412,3.326
"Gm10791",2.822,3.337,2.893,2.538,2.733,3.011,2.718,2.813
"Gm10839",2.804,2.672,2.759,2.903,2.721,2.978,2.627,2.863
"Gm10776",3.412,3.451,3.579,3.921,3.503,3.32,3.358,3.758
"Gm10699",3.052,3.445,3.04,3.461,3.235,3.424,3.717,3.238
"D130062J21Rik",7.168,7.898,7.765,7.844,7.749,7.481,7.133,6.934
"9830004L10Rik",3.037,2.923,3.081,3.39,3.112,3.1,2.985,3.329
"Gm1971",3.074,2.643,3.031,3.112,3.114,2.797,3.128,3.434
"Gm10421",2.84,2.732,2.832,3.453,2.776,3.029,3.299,2.993
"Gm10796",3.451,3.182,3.554,3.19,3.418,3.331,3.321,3.393
"Gm10309",3.915,3.647,3.474,3.982,3.866,3.395,3.836,3.56
"Gm11681",3.971,3.126,3.138,3.481,3.712,3.307,3.476,3.161
"Gm13629",2.707,2.949,2.789,3.059,2.852,3.053,2.785,2.523
"Gm1976",2.88,2.608,2.891,2.441,2.922,2.544,2.76,2.857
"Gm10700",3.338,3.319,3.144,3.032,3.097,3.248,3.361,3.047
"BC038268",2.97,3.289,2.83,2.964,2.985,2.989,2.906,2.938
"Gm17244",3.189,3.027,2.964,3.048,2.889,2.771,3.248,2.93
"Unc45bos",3.156,3.129,2.872,3.381,3.018,2.958,3.345,2.967
"Trav9d-3",8.603,9.168,9.265,9.534,8.959,8.633,9.007,8.315
"Mup10",2.481,2.382,2.606,3.1,2.638,2.778,2.606,3.77
"Gm2011",3.279,3.01,3.067,3.003,3.257,2.884,3.448,3.094
"Gm2044",2.851,3.104,2.779,2.967,2.826,3.09,2.85,2.914
"Gm2087",2.929,2.916,3.005,2.979,2.859,3.029,2.667,2.958
