"","GSM491052","GSM491062","GSM491072","GSM491085","GSM491086","GSM491057","GSM491067","GSM491077","GSM491095","GSM491096"
"Zglp1",5.61,5.602,5.794,5.814,5.668,5.835,5.534,5.531,5.289,5.804
"Oog3",3.47,3.7,3.809,3.643,3.403,3.361,3.155,3.38,2.966,3.363
"Ldlrap1",7.085,6.854,7.812,7.851,7.24,7.384,7.434,7.345,7.353,7.573
"Mdn1",7.464,7.434,6.133,6.244,7.431,6.986,7.358,7.159,7.24,6.97
"Wfdc17",13.314,13.637,11.292,11.531,13.056,13.523,14.005,13.894,12.907,13.439
"9330171B17Rik",3.293,2.78,3.514,3.09,3.335,3.09,2.976,3.01,2.853,3.11
"1700024h08rik",5.001,4.711,4.929,4.62,4.455,4.523,4.514,4.659,4.631,4.655
"2610305J24Rik",5.209,5.383,4.929,4.768,4.787,4.738,4.704,5.074,5.387,4.584
"A930017K11Rik",3.921,4.29,4.608,4.578,4.144,3.941,3.764,3.728,3.726,4.019
"Gata5os",4.197,4.156,4.467,4.373,4.237,4.279,3.851,4.436,4.208,4.264
"Gm16039",6.848,6.849,7.032,7.169,6.92,7.508,7.779,7.591,7.729,7.509
"Gm16982",5.164,5.225,5.586,5.48,5.207,5.021,4.793,5.143,4.584,5
"Gm9872",2.571,2.853,2.905,3.222,2.795,2.874,2.756,2.605,2.975,2.811
"Gm11149",3.658,3.819,4.113,4.261,3.648,4.156,4.014,3.862,3.652,4.076
"BC028777",3.4,3.217,3.362,3.378,3.873,3.372,3.679,3.297,3.077,3.681
"Gm13999",5.181,5.112,5.63,5.509,5.154,5.328,4.915,5.249,4.886,5.409
"Gm9744",5.208,5.207,5.225,5.582,5.62,5.251,5.221,5.049,5.116,5.304
"Gm9983",6.494,6.109,6.381,6.317,6.183,6.242,6.21,6.223,6.224,6.188
"Gm11696",4.178,3.884,4.67,4.894,4.72,4.465,4.788,4.352,4.513,4.837
"Dnajc3",6.004,7.028,4.9,5.749,5.817,7.279,7.405,7.419,7.065,6.532
"Gm12359",4.924,4.82,4.818,4.843,4.889,4.908,4.998,4.737,4.898,4.98
"Fam129c",6.64,5.665,6.935,6.353,6.269,6.064,6.393,6.44,6.48,6.861
"Rnaset2a",4.541,4.645,5.398,5.112,4.862,4.737,4.766,4.78,4.901,4.659
"5430403G19Rik",4.784,4.294,4.672,4.764,4.806,4.541,4.392,4.501,4.673,4.579
"Fam174b",6.674,6.299,7.893,7.926,7.142,6.7,6.118,6.281,6.773,7.099
"Gm10857",4.262,4.151,4.595,4.336,4.415,4.215,4.409,4.222,4.238,4.309
"Zfp389",2.8,2.694,2.544,2.474,2.49,2.396,2.408,2.451,2.429,2.17
"Gm10785",5.524,5.065,6.684,6.771,5.803,4.892,4.382,5.066,5.448,5.067
"Gm10512",5.524,5.358,5.91,5.906,5.623,5.489,5.536,5.504,5.846,5.863
"BC025933",4.837,4.646,4.789,4.863,4.66,4.687,4.597,4.411,4.617,4.51
"Gm10643",3.832,3.924,4.699,4.729,4.083,4.123,3.917,4.089,3.79,4.176
