"","GSM178644","GSM178645","GSM178646","GSM178647","GSM178660","GSM178661","GSM178662","GSM178663"
"Zglp1",4.073,4.217,3.298,3.905,3.788,3.887,3.679,3.901
"Oog3",3.48,3.515,3.699,3.229,3.202,3.392,3.518,3.051
"Ldlrap1",6.318,7.378,6.815,6.647,6.443,6.272,6.834,6.503
"Mdn1",6.626,5.586,6.949,7.434,7.626,6.635,7.427,7.874
"Wfdc17",12.021,12.452,11.316,11.09,10.599,10.683,11.454,10.518
"9330171B17Rik",2.647,3.011,2.995,3.094,2.746,2.825,2.707,2.812
"1700024h08rik",2.831,3.456,3.241,3.298,2.962,3.2,3.686,2.942
"2610305J24Rik",3.632,3.817,3.293,3.164,3.55,2.973,2.891,3.588
"A930017K11Rik",3.127,3.061,3.067,3.088,2.666,2.873,3.029,2.893
"Gata5os",4.065,4.499,4.395,4.775,4.013,4.366,4.231,3.776
"Gm16039",6.292,6.717,6.628,7.443,7.404,7.238,7.373,7.157
"Gm16982",3.54,3.602,3.518,3.343,3.354,3.381,3.481,3.222
"Gm9872",2.715,2.844,2.726,2.83,3.107,2.573,2.521,2.933
"Gm11149",2.766,3.193,3.239,3.282,2.811,3.188,3.131,2.88
"BC028777",2.684,2.817,2.626,2.899,2.662,2.502,2.824,2.787
"Gm13999",2.645,3.332,3.315,3.461,2.805,3.177,3.316,2.963
"Gm9744",2.931,2.787,2.914,2.981,2.987,3.042,2.944,2.659
"Gm9983",6.597,5.71,5.649,6.054,7.855,6.81,6.742,7.264
"Gm11696",3.668,3.63,3.979,4.309,3.933,3.668,4.217,3.499
"Dnajc3",8.723,8.049,8.545,8.047,7.619,8.057,8.334,8.653
"Gm12359",3.287,3.774,3.599,3.388,2.918,3.12,3.308,3.228
"Fam129c",6.521,4.032,7.093,7.426,8.025,8.428,7.785,7.744
"Rnaset2a",3.323,3.114,3.016,2.905,3.045,3.313,4.346,3.196
"5430403G19Rik",3.231,3.434,3.577,3.382,3.372,3.468,3.443,3.273
"Fam174b",7.953,8.71,8.061,8.421,7.617,6.492,7.183,7.171
"Gm10857",2.99,3.298,3.797,3.073,2.751,3.088,3.054,3.402
"Zfp389",2.481,2.551,2.536,2.425,2.388,2.485,2.208,2.511
"Gm10785",5.856,5.337,4.474,4.518,5.278,5.152,4.667,5.509
"Gm10512",3.772,3.636,3.704,3.709,3.498,3.972,3.689,3.7
"BC025933",4.453,3.437,3.297,3.793,3.399,3.474,3.324,3.563
"Gm10643",4.417,3.808,4.234,3.526,3.662,3.546,3.966,4.492
"E330027M22Rik",3.187,2.985,3.226,3.143,3.174,3.179,2.984,2.969
"Apela",3.167,3.524,3.486,3.376,2.779,3.103,3.319,3.329
