"","HA","HB","HI","HL","HS","HT","MA","MB","MI","ML","MS","MT"
"HA",1,1.50498101658739e-06,9.19288557089232e-06,-8.63177850429942e-06,5.19668707842434e-06,-2.6465903785056e-06,-6.02417917617327e-06,2.05196084500787e-07,3.16087332866793e-06,-6.01067521085864e-06,8.78043826032548e-06,1.57168198586331e-06
"HB",1.50498101658739e-06,1,0.317655369744647,0.0391624138552174,0.431618746744184,0.524183852073814,-0.00737878059891404,0.106007529827606,0.12021308261592,0.000628705661180557,0.0175008426835651,0.056701249997913
"HI",9.19288557089232e-06,0.317655369744647,1,0.0477399888727267,0.462893794320142,0.246842687854769,0.0106901999063688,0.11395021525345,0.203663888820691,0.000700185422555177,-0.0106613753689852,0.0622850284738668
"HL",-8.63177850429942e-06,0.0391624138552174,0.0477399888727267,1,0.0476935917088625,0.0349275413636571,0.00418292063328069,0.0162140872732543,0.0353369260456202,0.00239781722695029,0.000701775958996075,0.0219076187941524
"HS",5.19668707842434e-06,0.431618746744184,0.462893794320142,0.0476935917088625,1,0.345047317988727,0.00123174383933066,0.140161620515623,0.181169623373551,0.000710327992072042,0.00474575329699195,0.0657226373429892
"HT",-2.6465903785056e-06,0.524183852073814,0.246842687854769,0.0349275413636571,0.345047317988727,1,-0.0112823215239718,0.0806352841130387,0.0855825330293967,-0.000715010888446549,0.0208349829189536,0.0464154381404174
"MA",-6.02417917617327e-06,-0.00737878059891404,0.0106901999063688,0.00418292063328069,0.00123174383933066,-0.0112823215239718,1,0.0158046016221068,0.0330393495259349,0.00094944337305251,-0.0131974293317997,-0.0209475554147439
"MB",2.05196084500787e-07,0.106007529827606,0.11395021525345,0.0162140872732543,0.140161620515623,0.0806352841130387,0.0158046016221068,1,0.143784837848389,0.00162037099134869,0.0583976912391132,0.0894459465033471
"MI",3.16087332866793e-06,0.12021308261592,0.203663888820691,0.0353369260456202,0.181169623373551,0.0855825330293967,0.0330393495259349,0.143784837848389,1,0.0025130951251639,-0.0982554823117724,0.0746704188400089
"ML",-6.01067521085864e-06,0.000628705661180557,0.000700185422555177,0.00239781722695029,0.000710327992072042,-0.000715010888446549,0.00094944337305251,0.00162037099134869,0.0025130951251639,1,-0.000968287024897667,0.0010316093747534
"MS",8.78043826032548e-06,0.0175008426835651,-0.0106613753689852,0.000701775958996075,0.00474575329699195,0.0208349829189536,-0.0131974293317997,0.0583976912391132,-0.0982554823117724,-0.000968287024897667,1,0.0373135102564813
"MT",1.57168198586331e-06,0.056701249997913,0.0622850284738668,0.0219076187941524,0.0657226373429892,0.0464154381404174,-0.0209475554147439,0.0894459465033471,0.0746704188400089,0.0010316093747534,0.0373135102564813,1
