"","HA","HB","HI","HL","HS","HT","MA","MB","MI","ML","MS","MT"
"HA",1,0.316831683168317,0.0297029702970297,1,0.118811881188119,0.772277227722772,1,0.336633663366337,0.217821782178218,1,0.0891089108910891,0.257425742574257
"HB",0.316831683168317,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099
"HI",0.0297029702970297,0.0099009900990099,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.178217821782178,0.99009900990099,0.0099009900990099
"HL",1,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,0.0099009900990099,0.0891089108910891,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.435643564356436,0.0099009900990099
"HS",0.118811881188119,0.0099009900990099,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,0.316831683168317,0.0099009900990099,0.0099009900990099,0.099009900990099,0.237623762376238,0.0099009900990099
"HT",0.772277227722772,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1,1,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,0.0099009900990099
"MA",1,1,0.0099009900990099,0.0891089108910891,0.316831683168317,1,1,0.0099009900990099,0.0099009900990099,0.217821782178218,1,1
"MB",0.336633663366337,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099
"MI",0.217821782178218,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,1,0.0099009900990099
"ML",1,0.0297029702970297,0.178217821782178,0.0594059405940594,0.099009900990099,1,0.217821782178218,0.0099009900990099,0.0099009900990099,1,1,0.158415841584158
"MS",0.0891089108910891,0.0099009900990099,0.99009900990099,0.435643564356436,0.237623762376238,0.0099009900990099,1,0.0099009900990099,1,1,1,0.0099009900990099
"MT",0.257425742574257,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,0.0099009900990099,0.158415841584158,0.0099009900990099,1
