"","HA","HB","HI","HL","HS","HT","MA","MB","MI","ML","MS","MT"
"HA",1,4.96773771807759e-06,-8.30486810650401e-06,-8.19795639789479e-06,-8.20057562595906e-06,-2.89099976653157e-07,3.17748553999141e-05,9.71576466345076e-06,3.18208333336967e-06,-1.07103551165932e-05,3.58614537575102e-06,-8.1964664036305e-06
"HB",4.96773771807759e-06,1,-0.194989257747194,-0.0199167088195156,-0.255514133613592,-0.404784317771455,0.021135611073265,-0.0429644439588612,-0.0714139540637059,2.79353346668829e-05,0.00680722249017319,-0.0347441675213135
"HI",-8.30486810650401e-06,-0.194989257747194,1,-0.0125358364552875,-0.167790969170654,-0.165281300711183,0.00982065512679392,-0.0277765605707019,-0.0791266377152914,6.95729640191273e-05,0.0601865448993671,-0.0200651432254053
"HL",-8.19795639789479e-06,-0.0199167088195156,-0.0125358364552875,1,-0.0145045195636818,-0.018785178464279,0.00732604942717968,0.0112597296443309,4.85889951512058e-05,-0.000609851419446049,0.0172771418480453,-0.00421341472701287
"HS",-8.20057562595906e-06,-0.255514133613592,-0.167790969170654,-0.0145045195636818,1,-0.235562412075847,0.0190209469531913,-0.0326065076604833,-0.0691011357049393,-0.000524885703631144,0.0442061402151541,-0.0314013845116082
"HT",-2.89099976653157e-07,-0.404784317771455,-0.165281300711183,-0.018785178464279,-0.235562412075847,1,0.0211999413305607,-0.0253425434372955,-0.0444053788504573,0.000202214523774475,0.00374207115773901,-0.0289525043391801
"MA",3.17748553999141e-05,0.021135611073265,0.00982065512679392,0.00732604942717968,0.0190209469531913,0.0211999413305607,1,0.0265072596397456,-0.00825241043480236,7.7539345181234e-05,0.0426362839712785,0.0154470841730236
"MB",9.71576466345076e-06,-0.0429644439588612,-0.0277765605707019,0.0112597296443309,-0.0326065076604833,-0.0253425434372955,0.0265072596397456,1,-0.0372713431226175,-0.000540852551297825,0.00403107367422021,-0.0289816818073869
"MI",3.18208333336967e-06,-0.0714139540637059,-0.0791266377152914,4.85889951512058e-05,-0.0691011357049393,-0.0444053788504573,-0.00825241043480236,-0.0372713431226175,1,-0.000471535510981468,0.203202545791392,-0.0141346531576866
"ML",-1.07103551165932e-05,2.79353346668829e-05,6.95729640191273e-05,-0.000609851419446049,-0.000524885703631144,0.000202214523774475,7.7539345181234e-05,-0.000540852551297825,-0.000471535510981468,1,0.00130619864123186,0.00010096691099786
"MS",3.58614537575102e-06,0.00680722249017319,0.0601865448993671,0.0172771418480453,0.0442061402151541,0.00374207115773901,0.0426362839712785,0.00403107367422021,0.203202545791392,0.00130619864123186,1,-0.0127515549767378
"MT",-8.1964664036305e-06,-0.0347441675213135,-0.0200651432254053,-0.00421341472701287,-0.0314013845116082,-0.0289525043391801,0.0154470841730236,-0.0289816818073869,-0.0141346531576866,0.00010096691099786,-0.0127515549767378,1
