"","HA","HB","HI","HL","HS","HT","MA","MB","MI","ML","MS","MT"
"HA",1,0.0495049504950495,1,1,1,0.396039603960396,0.0198019801980198,0.0297029702970297,0.158415841584158,1,0.158415841584158,1
"HB",0.0495049504950495,1,1,1,1,1,0.0099009900990099,1,1,0.485148514851485,0.0891089108910891,1
"HI",1,1,1,1,1,1,0.0099009900990099,1,1,0.316831683168317,0.0099009900990099,1
"HL",1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.544554455445545,0.594059405940594,0.0099009900990099,0.871287128712871
"HS",1,1,1,1,1,1,0.0099009900990099,1,1,0.930693069306931,0.0099009900990099,1
"HT",0.396039603960396,1,1,1,1,1,0.0099009900990099,1,1,0.297029702970297,0.267326732673267,1
"MA",0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,1,0.0396039603960396,0.0099009900990099,0.0099009900990099
"MB",0.0297029702970297,1,1,0.0099009900990099,1,1,0.0099009900990099,1,1,0.792079207920792,0.297029702970297,1
"MI",0.158415841584158,1,1,0.544554455445545,1,1,1,1,1,0.900990099009901,0.0099009900990099,1
"ML",1,0.485148514851485,0.316831683168317,0.594059405940594,0.930693069306931,0.297029702970297,0.0396039603960396,0.792079207920792,0.900990099009901,1,0.0396039603960396,0.366336633663366
"MS",0.158415841584158,0.0891089108910891,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.267326732673267,0.0099009900990099,0.297029702970297,0.0099009900990099,0.0396039603960396,1,1
"MT",1,1,1,0.871287128712871,1,1,0.0099009900990099,1,1,0.366336633663366,1,1
