"","HA_HB","HA_HI","HA_HL","HA_HS","HA_HT","HA_MA","HA_MB","HA_MI","HA_ML","HA_MS","HA_MT","HB_HI","HB_HL","HB_HS","HB_HT","HB_MA","HB_MB","HB_MI","HB_ML","HB_MS","HB_MT","HI_HL","HI_HS","HI_HT","HI_MA","HI_MB","HI_MI","HI_ML","HI_MS","HI_MT","HL_HS","HL_HT","HL_MA","HL_MB","HL_MI","HL_ML","HL_MS","HL_MT","HS_HT","HS_MA","HS_MB","HS_MI","HS_ML","HS_MS","HS_MT","HT_MA","HT_MB","HT_MI","HT_ML","HT_MS","HT_MT","MA_MB","MA_MI","MA_ML","MA_MS","MA_MT","MB_MI","MB_ML","MB_MS","MB_MT","MI_ML","MI_MS","MI_MT","ML_MS","ML_MT","MS_MT"
"KEGG Primary immunodeficiency",0,-1.62758172149885e-05,0,0,0.000402908144805126,-3.59221221324133e-08,-1.60382617196056e-05,0,-8.06458116597714e-06,-8.87297117637448e-06,-4.75232673196748e-06,0.550442452609192,0.101604806243766,0.764346924925422,0.579098145829208,-0.0607516132437326,0.421052229300537,0.459054597143786,-0.000694205608902323,-0.0172617513588683,0.208664877033138,0.0801852781605075,0.699568368203678,0.454771965125624,-0.0469715373961756,0.38676354871679,0.552801947217891,-0.000313606598438716,-0.00811951960317991,0.302961884932478,0.118038836919255,0.111054445537819,-0.0186517086907482,-0.0268967126973309,0.117218850950168,-0.000484269338439292,-0.0297532978071694,-0.0194360378949412,0.601813437853448,-0.0479851780984187,0.44849181582356,0.670520223555288,-0.000770443127426158,-0.0793745000085874,0.325544480582491,-0.0892967916601091,0.230734894529554,0.296005423154648,-0.00117570885893254,-0.0226674366598998,0.170861147018964,-0.026773916629465,-0.0523294304456391,-0.00202122057068118,-0.0392043985704179,-0.0361960603719053,0.595105772421295,-0.00120510288198312,-0.0753559124850936,0.375384676801399,-0.000599259863688161,-0.116615879968495,0.370117978475066,-0.000896503790000743,-0.000595059066342238,-0.028610139229748
"KEGG Chemokine signaling pathway",-7.08807007113081e-06,-9.35101888859107e-06,-3.71716598042741e-06,-5.50809901101582e-06,-1.09024126535261e-05,-3.56336630648733e-06,-1.26524776178223e-05,-1.79250628109671e-05,-9.81054677581923e-06,-5.65179014413404e-06,-1.3737243160559e-06,0.367908658263919,0.16900731712418,0.555564165433286,0.627276245744058,0.018401695481194,0.189253088389627,0.313859355376844,-0.000214899796757379,-0.0545245862401172,0.0116978302479061,0.202079654386497,0.486357551746122,0.301946009343086,0.0296968022380964,0.218085075675094,0.452181111854272,0.0010209480207731,-0.0268447368181263,0.0195643029544879,0.19020418958107,0.160581559274266,0.0314264978659108,0.0977801105312061,0.182284032468413,0.00305117111417238,0.000477023387252985,0.0164392740444213,0.487001748449384,0.0240351243228377,0.155073703740099,0.416171765900497,0.00101729399971618,-0.0448533817265856,0.0284848655016797,0.0158949512985207,0.151235342659533,0.357066593629186,0.000325572550242479,-0.0718789170041858,0.0575464083041273,-0.00378450511396595,0.0666218951652557,-0.000347421072005688,-0.0372229157606955,-0.037166938600534,0.180372365240182,0.00142138084739559,0.0671567352470421,0.117096444778003,0.000912244091877542,-0.117888731301326,0.119894312988814,-0.00169712654487332,0.000143514995675777,0.0114495041189285
"KEGG Apoptosis",-1.56131279473458e-05,-3.20958197339332e-06,-4.76008272594731e-06,-1.26787762108253e-05,-5.59164565486484e-06,-1.38690157408739e-05,0,-6.01381364199979e-06,0,-2.09238840527518e-05,-8.47567297910474e-06,0.436755277730642,0.12418877691915,0.57428902553434,0.647912714945948,0.0965312253852633,0.254849507576555,0.269870836964356,0.00367705888825573,0.0671631732467202,0.0309879343889689,0.138897233518639,0.406174664104094,0.309246805720085,0.0239651136539154,0.152517397826737,0.338781647004068,0.00650023062126413,0.0362966234808111,-0.0264719609908766,0.0451966786771706,0.0974530256001882,0.0399947388323402,0.00555400066261327,0.127938703773334,0.0046158554415408,-0.00569825581551793,-0.00165161590478895,0.441310242147008,0.101988649426957,0.20471105819056,0.231034164399246,0.00554906449870927,-0.0039713703338801,0.102362097205856,0.0496694675814782,0.192362286724503,0.219788593548799,0.00438785913019906,0.0145696703183663,0.000904476192957291,0.014465498754295,0.0285950016731203,0.00461109312898795,-0.044032623176102,0.0179328551686785,0.164526073583115,0.00132445191230714,0.0979076915264417,0.0454759842914874,0.033998163471921,-0.0755304180970145,0.0112537672783951,-0.0012706540861703,0.000134153488483916,0.0622082096920286
"KEGG VEGF signaling pathway",-6.64269428490733e-06,-1.45708136222287e-05,-8.75048018663644e-06,0,-8.76970378335707e-06,0,-1.15784793589456e-05,-1.13785673383663e-05,-1.28656625991679e-05,-1.21468261132024e-05,-4.62610497420023e-06,0.422915009541078,0.182569838491936,0.495869729603881,0.656218372968766,0.0267385520979145,0.160967939871392,0.370953295178517,0.00190419228366558,-0.0709520698964183,0.0641516745754857,0.183436976173435,0.508760729503178,0.341628322991967,0.00971085430964687,0.19747015771448,0.49779211938562,0.00508115463984402,-0.0568775749883096,-0.00857296271099594,0.179136255837557,0.160093752947819,-0.00924814054136725,0.0367417071239536,0.125658232061779,-0.000602377439663545,0.0313445263533244,0.104870016094837,0.419003221201537,-0.0080415959390104,0.0929757873163133,0.449080738319416,0.00332672689604096,-0.0310651266122687,0.013070063091031,0.0386591914693575,0.167616520544614,0.266254326055163,-0.00137056091470751,-0.0475874254657734,0.0705822442573655,-0.0175998983202889,0.0114959839614927,-0.00237877371318417,-0.0359349144566905,-0.0310329173080374,0.26102793838251,0.00362643474171567,0.0323677634129163,0.11850588401447,0.000924674006011013,-0.0968590433879025,-0.0315469177800602,-0.00071329037640954,-0.000876303210787302,0.0131266716859714
"KEGG Osteoclast differentiation",-2.11357380515057e-06,-9.70122947076974e-06,-2.43594535953922e-05,-9.503773936948e-06,-1.81862932262078e-06,-4.94911365715312e-06,-8.03475052874386e-06,-7.29430792330255e-06,-1.16062953205893e-05,-3.50841374575768e-06,-3.1480525114647e-06,0.49984027539262,0.130130437911841,0.604538161399955,0.541595764082256,0.0946683797710367,0.234675118578686,0.416846338877095,0.0138444107373588,-0.0648955438054608,0.0495574817523983,0.129285848069336,0.536319912828842,0.417873639422498,0.116796309231346,0.192274483564653,0.487942362121731,0.00871585461962441,-0.031716650384795,0.0542373120253863,0.0917086464213333,0.118939229373319,0.0708603436285919,-0.00496183323808274,0.0700267483092496,0.0374155791011427,0.00633489460661023,-0.0225198069003294,0.502033063355798,0.0898358393484384,0.243579517840261,0.470696995116303,0.00322617483790798,-0.0876735448744914,0.128948509028767,0.0967006490146505,0.230834828005179,0.401551736323071,0.00415826986338468,-0.0820345053390048,0.0400740551759905,0.0196205827120387,0.13326999492239,0.0176220383136906,-0.021446987278095,-0.0281401328489811,0.320605723549877,0.0133756371013067,0.062516575747427,0.151616289501326,0.00652043490825673,-0.102367259238812,0.0718886914177919,-0.0011109333881019,-0.000903184633164601,0.0248005900383732
"KEGG Toll-like receptor signaling pathway",0.000157396000544008,-3.41504452518257e-06,-1.38725101562683e-05,0.000261150322892447,-8.92440090525676e-06,-5.85073592664968e-06,-7.11645927932845e-06,-2.94967473892323e-06,0,-2.76092461938508e-06,-8.80610938195687e-06,0.46448029669278,0.113581551309648,0.600312059492067,0.632006601682145,0.0751125337070652,0.174897573337352,0.323351519513757,0.0111434909882679,0.0408875758143985,-0.030155414952657,0.105338181150453,0.502671952598906,0.364677073513535,0.0997678648427909,0.139077417765199,0.373794747937507,0.00291537529799649,0.0475577699571599,-0.00601345867425736,0.0849997951120074,0.10988288775084,0.00291116697960709,-0.0179292237286352,0.00941562839185269,-0.00091238496608089,0.0152213948880898,-0.0215589296419496,0.513936307757522,0.102782306567649,0.199291704561897,0.358073095346541,0.00231859813655564,0.00824983013733877,0.0728397998629196,0.0517299822189294,0.182621083881319,0.295570029527735,0.00466781153385535,-0.00136775477465953,0.0236772238448992,0.0811589699497756,0.0871852336845526,0.0200350058849528,-0.0274147208596372,-0.0339970724148318,0.322599232728835,0.0222367331398788,0.0142778971600623,0.152271815597993,0.000783650327887205,-0.0716545064765779,0.0472802109427746,-0.00118576314881567,-0.00141271713862998,0.0281380427617113
"KEGG T cell receptor signaling pathway",-2.21636462774905e-06,-1.05937541652382e-05,-1.19177215376191e-05,-8.21965194797508e-06,0,-1.93164481469348e-08,-7.38221014078066e-06,-6.1738633271476e-06,-4.03227432368679e-06,-1.11382578240934e-05,-1.03759504456567e-05,0.534832047908706,0.0818215607449372,0.596382611849896,0.61349143872867,0.0130751511217938,0.343278318049755,0.384226263494842,0.00013022340491215,-0.052770839364553,0.151146796782418,0.0950622744645971,0.630275331368579,0.370855698087412,-0.0163411765343165,0.26037911283463,0.484422664574988,0.000127521788941125,-0.040724254480223,0.116812208034838,0.0733350577073352,0.0636013560029936,0.0222419919507653,0.00173068693751867,0.051423106560948,-0.000610726114045285,0.0152414496241401,0.0507030740031391,0.442249172806766,0.0189209428734419,0.284279596913014,0.4984842536195,-5.39897737583889e-05,-0.0581425396570867,0.149919978571517,0.00143173276964871,0.27748577644706,0.270257333101013,0.00122866781559807,-0.0563121676706956,0.10308803116568,-0.00127977847371014,-0.00250599203018419,0.00390087491907897,-0.0418679849969872,-0.0272184744714648,0.39747876998728,0.00256464886697894,0.0628657111787849,0.201290338752145,0.00204395877320664,-0.0951501576680815,0.120095169769832,-0.00101440400500991,-0.000578293147649316,0.0465278479310302
"KEGG B cell receptor signaling pathway",-1.19409988209398e-05,-1.4012460646885e-05,-1.82410820293901e-05,-3.30171547418009e-06,-3.36091540891986e-05,-8.35923363007733e-06,-1.34787332895533e-05,-1.71662663553825e-05,-7.86931132024647e-06,0,-1.73758666369165e-05,0.388269355780533,0.203603206830868,0.555897408390555,0.656318651700017,0.0549184890378992,0.390905878059165,0.521223838375271,0.00758780458839231,-0.0658955009158274,0.0930252674259656,0.187450661464826,0.495258116173249,0.276248398500668,0.0477783362196186,0.200188856723242,0.456504875080671,0.00169962236821714,-0.0212987429943395,-0.00328422738811218,0.149210115187629,0.179260597622717,0.110868245959547,0.0462519254456239,0.113132096089358,-0.000355839831725022,0.0197411693835476,0.103427578018238,0.440212111123043,0.0414466963891734,0.29715022204869,0.605772645498333,0.0156566897186022,-0.0478239795372954,0.0447954125410382,0.0289879422644785,0.401558370400934,0.470185224805383,0.00512035629514027,-0.094919022120507,0.0592595663181839,0.00210352890309068,0.0373226781930558,0.0041147110197144,-0.0460544284521923,-0.0316270035542557,0.402393131574182,0.00364854555427594,0.0875077600603191,0.212815752483726,0.0121329764805664,-0.101170688415591,0.0163410788951257,-0.000613362023442715,0.000469119134218714,0.0323000700905748
"KEGG Fc epsilon RI signaling pathway",-3.69314126228665e-06,-1.16522524919302e-05,-9.68428015320753e-06,-6.93683099660734e-06,-1.17390785113177e-05,-7.85406034169334e-06,-9.46610219365653e-06,-4.12300087003383e-06,0,-7.87757378240503e-06,-7.6802566248548e-06,0.478481213046706,0.171718164080262,0.602071667669204,0.6569139519864,-0.00609007521334506,0.168569296479364,0.398522101876052,-0.000132982238755239,-0.0847316361111572,0.0581277762672789,0.195517535505532,0.452928438986492,0.384551427154953,0.0155111346070739,0.0867166201369686,0.41491398935587,-0.0014210899719608,-0.0772303640605807,0.0146257668835446,0.203532646016494,0.127106154051077,0.0278501771635127,0.0188704535156631,0.135445602965,-0.00266713017850838,0.0132865819380714,0.00425339304994687,0.465612802660277,0.00864327751194433,0.0647695793699792,0.410580411874462,-0.00128966003561764,-0.0557223690429222,0.0709049231435366,-0.0025662842984106,0.177702188290125,0.339216778568046,-0.00211901115357559,-0.0454817996596956,0.0626879568664428,-0.0184338655963262,0.0371003820603107,-0.00442896310459421,-0.0409131374215818,-0.0219428551196997,0.190333987980878,0.000129499054307178,0.138684848337691,0.16926860243742,4.4699949349847e-05,-0.107184728029284,0.0319841546392708,-0.00113433256412149,-0.000836215840786695,0.110865317609777
"KEGG Fc gamma R-mediated phagocytosis",-1.27031882791135e-05,-8.09706930146805e-06,-6.24638617026373e-06,-1.0932886837132e-05,0,0,-6.54524860389304e-06,-1.674626927416e-05,-6.31313529869653e-07,-1.02742542326301e-05,-5.29282080659661e-06,0.575615279451534,0.220400595847773,0.675995034613686,0.805909636921672,0.0423943087717368,0.143660615209022,0.504175956234099,0.000128405296012792,-0.0791487953702325,-0.00153510365063127,0.219570763217307,0.606391043986994,0.501025399484804,0.0757338511411686,0.0816909601555584,0.422106570477094,0.000327268338843038,-0.0639984967957245,0.0286875585771847,0.271127843555732,0.209429359402167,-0.00626972175251866,-0.00789824104173727,0.265360077672489,0.000617543782023897,-0.0206846752878916,-0.0262155788755223,0.583799651920769,0.056267861560469,0.135560534598715,0.506234140691794,-0.000668202235815951,-0.0363654564782103,0.0203307387000531,0.0687793053649964,0.13504937205781,0.460679647818709,0.000380004662760388,-0.106354023049211,-0.00124606988049656,-0.0302580872460823,0.0851819015398835,-0.00312019412466641,-0.0404483345386223,-0.0338271861946816,0.184656587689161,-4.2086188874407e-06,0.127376966096043,0.108571060481989,0.000480039426017762,-0.113562185759427,-0.0490625822662657,-0.00093390019334184,-0.00157790247616394,0.122479935568762
