"","HA_HB","HA_HI","HA_HL","HA_HS","HA_HT","HA_MA","HA_MB","HA_MI","HA_ML","HA_MS","HA_MT","HB_HI","HB_HL","HB_HS","HB_HT","HB_MA","HB_MB","HB_MI","HB_ML","HB_MS","HB_MT","HI_HL","HI_HS","HI_HT","HI_MA","HI_MB","HI_MI","HI_ML","HI_MS","HI_MT","HL_HS","HL_HT","HL_MA","HL_MB","HL_MI","HL_ML","HL_MS","HL_MT","HS_HT","HS_MA","HS_MB","HS_MI","HS_ML","HS_MS","HS_MT","HT_MA","HT_MB","HT_MI","HT_ML","HT_MS","HT_MT","MA_MB","MA_MI","MA_ML","MA_MS","MA_MT","MB_MI","MB_ML","MB_MS","MB_MT","MI_ML","MI_MS","MI_MT","ML_MS","ML_MT","MS_MT"
"KEGG Primary immunodeficiency",1,1,1,1,0.0198019801980198,1,1,1,1,1,1,0.0099009900990099,0.0396039603960396,0.0099009900990099,0.0099009900990099,1,0.0099009900990099,0.0099009900990099,1,0.603960396039604,0.0198019801980198,0.099009900990099,0.0099009900990099,0.0099009900990099,0.930693069306931,0.0099009900990099,0.0099009900990099,1,0.445544554455446,0.0099009900990099,0.0495049504950495,0.0297029702970297,1,0.485148514851485,0.118811881188119,1,0.851485148514851,0.544554455445545,0.0099009900990099,0.96039603960396,0.0099009900990099,0.0099009900990099,1,0.782178217821782,0.0198019801980198,1,0.0396039603960396,0.0099009900990099,1,0.623762376237624,0.0198019801980198,0.792079207920792,0.95049504950495,1,0.97029702970297,0.98019801980198,0.0099009900990099,1,0.782178217821782,0.0099009900990099,1,1,0.0099009900990099,1,1,0.603960396039604
"KEGG Chemokine signaling pathway",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.099009900990099,0.0099009900990099,0.0099009900990099,0.148514851485149,0.930693069306931,0.306930693069307,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0792079207920792,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.702970297029703,0.277227722772277,0.0099009900990099,0.0099009900990099,0.0891089108910891,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.326732673267327,0.227722772277228,0.0099009900990099,0.168316831683168,0.0099009900990099,0.0099009900990099,0.108910891089109,0.831683168316832,0.158415841584158,0.237623762376238,0.0099009900990099,0.0099009900990099,0.237623762376238,0.97029702970297,0.0099009900990099,0.465346534653465,0.0099009900990099,0.198019801980198,1,1,0.0099009900990099,0.0693069306930693,0.099009900990099,0.0099009900990099,0.118811881188119,1,0.0099009900990099,0.564356435643564,0.217821782178218,0.297029702970297
"KEGG Apoptosis",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.128712871287129,0.207920792079208,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.148514851485149,0.0396039603960396,0.0099009900990099,0.0198019801980198,0.277227722772277,0.673267326732673,0.099009900990099,0.0198019801980198,0.0891089108910891,0.277227722772277,0.0099009900990099,0.0495049504950495,0.564356435643564,0.267326732673267,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0495049504950495,0.514851485148515,0.0198019801980198,0.0693069306930693,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.297029702970297,0.534653465346535,0.267326732673267,0.148514851485149,0.0891089108910891,1,0.237623762376238,0.0198019801980198,0.099009900990099,0.0594059405940594,0.138613861386139,0.0099009900990099,0.98019801980198,0.376237623762376,1,0.207920792079208,0.118811881188119
"KEGG VEGF signaling pathway",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.138613861386139,0.0198019801980198,0.0099009900990099,0.0594059405940594,0.782178217821782,0.108910891089109,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.376237623762376,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.693069306930693,0.425742574257426,0.0099009900990099,0.0099009900990099,0.495049504950495,0.178217821782178,0.0198019801980198,1,0.198019801980198,0.099009900990099,0.0099009900990099,0.485148514851485,0.148514851485149,0.0099009900990099,0.0396039603960396,0.673267326732673,0.435643564356436,0.168316831683168,0.0099009900990099,0.0099009900990099,0.0891089108910891,0.811881188118812,0.099009900990099,0.742574257425743,0.366336633663366,1,0.99009900990099,0.881188118811881,0.0099009900990099,0.0297029702970297,0.346534653465347,0.0198019801980198,0.0594059405940594,0.99009900990099,0.643564356435644,1,1,0.267326732673267
"KEGG Osteoclast differentiation",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.920792079207921,0.118811881188119,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0495049504950495,0.732673267326733,0.108910891089109,0.0297029702970297,0.0099009900990099,0.0396039603960396,0.366336633663366,0.0297029702970297,0.0099009900990099,0.435643564356436,0.772277227722772,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.940594059405941,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0495049504950495,0.99009900990099,0.128712871287129,0.257425742574257,0.0099009900990099,0.0495049504950495,0.930693069306931,0.900990099009901,0.0099009900990099,0.0099009900990099,0.108910891089109,0.0099009900990099,0.0297029702970297,1,0.0594059405940594,1,1,0.247524752475248
"KEGG Toll-like receptor signaling pathway",0.0396039603960396,1,1,0.0495049504950495,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0495049504950495,0.217821782178218,0.683168316831683,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0396039603960396,0.207920792079208,0.534653465346535,0.0495049504950495,0.0099009900990099,0.316831683168317,0.564356435643564,0.316831683168317,1,0.306930693069307,0.821782178217822,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0594059405940594,0.386138613861386,0.0693069306930693,0.0396039603960396,0.0099009900990099,0.0099009900990099,0.108910891089109,0.415841584158416,0.267326732673267,0.0198019801980198,0.0099009900990099,0.0198019801980198,0.99009900990099,1,0.0099009900990099,0.0099009900990099,0.376237623762376,0.0099009900990099,0.099009900990099,0.98019801980198,0.138613861386139,1,1,0.267326732673267
"KEGG T cell receptor signaling pathway",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.336633663366337,0.0099009900990099,0.0099009900990099,0.148514851485149,0.871287128712871,0.0099009900990099,0.0297029702970297,0.0099009900990099,0.0099009900990099,0.693069306930693,0.0099009900990099,0.0099009900990099,0.0891089108910891,0.722772277227723,0.0198019801980198,0.0396039603960396,0.0099009900990099,0.128712871287129,0.277227722772277,0.0792079207920792,1,0.257425742574257,0.0495049504950495,0.0099009900990099,0.257425742574257,0.0099009900990099,0.0099009900990099,0.168316831683168,0.841584158415842,0.0099009900990099,0.386138613861386,0.0099009900990099,0.0099009900990099,0.0792079207920792,0.821782178217822,0.0099009900990099,0.455445544554455,0.386138613861386,0.0396039603960396,1,0.940594059405941,0.0099009900990099,0.0297029702970297,0.138613861386139,0.0099009900990099,0.0396039603960396,1,0.0099009900990099,0.287128712871287,1,0.158415841584158
"KEGG B cell receptor signaling pathway",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0792079207920792,0.0099009900990099,0.0099009900990099,0.0297029702970297,0.910891089108911,0.0495049504950495,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.138613861386139,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.653465346534653,0.455445544554455,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.118811881188119,0.0198019801980198,1,0.237623762376238,0.0297029702970297,0.0099009900990099,0.0891089108910891,0.0099009900990099,0.0099009900990099,0.0396039603960396,0.732673267326733,0.247524752475248,0.0792079207920792,0.0099009900990099,0.0099009900990099,0.0792079207920792,0.95049504950495,0.138613861386139,0.465346534653465,0.188118811881188,0.118811881188119,1,0.861386138613861,0.0099009900990099,0.0495049504950495,0.0594059405940594,0.0099009900990099,0.0297029702970297,0.99009900990099,0.336633663366337,1,0.099009900990099,0.267326732673267
"KEGG Fc epsilon RI signaling pathway",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.603960396039604,0.0297029702970297,0.0099009900990099,0.425742574257426,0.95049504950495,0.0792079207920792,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.267326732673267,0.158415841584158,0.0099009900990099,0.267326732673267,0.891089108910891,0.336633663366337,0.0099009900990099,0.0099009900990099,0.178217821782178,0.217821782178218,0.0099009900990099,1,0.277227722772277,0.326732673267327,0.0099009900990099,0.366336633663366,0.207920792079208,0.0099009900990099,1,0.792079207920792,0.118811881188119,0.663366336633663,0.0099009900990099,0.0099009900990099,0.445544554455446,0.811881188118812,0.0693069306930693,0.633663366336634,0.188118811881188,1,0.98019801980198,0.603960396039604,0.0198019801980198,0.148514851485149,0.0297029702970297,0.0198019801980198,0.227722772277228,0.99009900990099,0.247524752475248,1,1,0.0297029702970297
"KEGG Fc gamma R-mediated phagocytosis",1,1,1,1,1,1,1,1,1,1,1,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0792079207920792,0.0594059405940594,0.0099009900990099,0.118811881188119,0.940594059405941,0.435643564356436,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.108910891089109,0.0099009900990099,0.178217821782178,0.851485148514851,0.336633663366337,0.0099009900990099,0.0099009900990099,0.356435643564356,0.445544554455446,0.0099009900990099,0.099009900990099,0.633663366336634,0.792079207920792,0.0099009900990099,0.0495049504950495,0.0594059405940594,0.0099009900990099,1,0.742574257425743,0.326732673267327,0.0198019801980198,0.0495049504950495,0.0099009900990099,0.178217821782178,0.97029702970297,0.415841584158416,0.792079207920792,0.0198019801980198,1,1,0.96039603960396,0.0099009900990099,0.128712871287129,0.0297029702970297,0.0297029702970297,0.0792079207920792,1,0.752475247524752,1,1,0.0099009900990099
