"","HA_HB","HA_HI","HA_HL","HA_HS","HA_HT","HA_MA","HA_MB","HA_MI","HA_ML","HA_MS","HA_MT","HB_HI","HB_HL","HB_HS","HB_HT","HB_MA","HB_MB","HB_MI","HB_ML","HB_MS","HB_MT","HI_HL","HI_HS","HI_HT","HI_MA","HI_MB","HI_MI","HI_ML","HI_MS","HI_MT","HL_HS","HL_HT","HL_MA","HL_MB","HL_MI","HL_ML","HL_MS","HL_MT","HS_HT","HS_MA","HS_MB","HS_MI","HS_ML","HS_MS","HS_MT","HT_MA","HT_MB","HT_MI","HT_ML","HT_MS","HT_MT","MA_MB","MA_MI","MA_ML","MA_MS","MA_MT","MB_MI","MB_ML","MB_MS","MB_MT","MI_ML","MI_MS","MI_MT","ML_MS","ML_MT","MS_MT"
"KEGG Primary immunodeficiency",0.000430015050526768,-1.59600869297967e-05,0,0,-1.61222856518825e-05,-1.60574458538076e-05,0.000550220389300153,0,0,-7.24656879538747e-06,-1.1340854419972e-05,-0.243195140539671,-0.0287310188930528,-0.261573112787823,-0.271297627247932,0.0306277484541688,-0.0337041754359649,-0.172540696841815,-0.000287429681037814,-0.0424712662022265,-0.0747655482094359,-0.0250862469127469,-0.175536633328485,-0.173488554765189,-0.0245409572464816,-0.0831358662341621,-0.0824951811968133,-0.000376478486515965,0.077756083904612,-0.0469989823387523,-0.0257551290724491,-0.043495894679602,-0.0110946575657872,0.162700408977432,0.0157376071340862,-0.00117528945173036,0.166277037953292,0.10583989339907,-0.165891871984377,0.0297277280967204,-0.0107573134643771,-0.165060476918204,-0.00111626033556063,0.0427962670030535,-0.0429381531650979,0.0352481516397601,0.133819237133923,-0.0387992546866352,-0.000298328648259467,-0.0606641507727098,0.0541309987710869,0.00680229711703728,0.00435645261621332,-1.97231074873165e-05,0.0105043535027879,0.0312913300234214,-0.134490953266529,-0.00197633289615772,0.0361925198264294,-0.0598101325222566,-0.000526096800482731,0.155861446983012,-0.067823935306084,0.0008768481261018,-0.000566922015695828,0.0191718394191816
"KEGG Chemokine signaling pathway",-7.0953020540978e-06,-8.37492097835815e-06,-3.36854871349936e-06,-5.12853198800498e-06,-1.03733168217446e-05,-3.52450383211255e-06,-1.21673691727943e-05,-1.75269475622603e-05,-1.3298347677331e-05,-4.98501294769259e-06,-2.17146146828115e-06,-0.177885328171252,-0.00316719458967659,-0.279617645968775,-0.403007594431316,-0.00636446656658106,0.00471376683455742,-0.0911693829589056,-0.00112890024883248,0.156622466171884,0.0304135545644107,-0.00700291402777202,-0.167596317514164,-0.122774776660499,-0.0145831434108025,0.0523745822744005,-0.0831378732376019,-0.000901733992491712,0.251416862000351,0.0257931438481198,-0.0249315797603179,-0.00109818575698851,0.00453437603486973,0.0864720502872807,0.0328378855932301,0.000116501454369356,0.190213355841053,0.1437826057479,-0.234802129715247,0.0121925904120393,0.049309325671625,-0.0461776280540208,-0.000986808621275174,0.223452759928674,0.0222979588648999,0.0131942898174034,0.0475831426251357,-0.11533765628288,-0.000832335490692892,0.129427457714118,0.0160213039668641,0.0430141216310421,-0.0325332769652664,-2.19139138329955e-05,0.0417366278582676,-0.0100879459100588,0.059254519624532,-0.000918332267403871,0.113299514824007,-0.0363143185549585,-0.000890184328669279,0.410272868268797,-0.0388183200940548,-0.00217243234190257,0.00155637039442613,-0.0126383008524937
"KEGG Apoptosis",-1.21620012284767e-05,-3.73308154985964e-06,-9.10655174344561e-06,-1.50837341455674e-05,-8.295960583508e-06,-6.94088071872071e-06,0,-7.87228031695345e-06,0,-2.07229516378908e-05,-1.23472412627063e-05,-0.233955232086279,-0.0210066329756262,-0.257735617715498,-0.369866762476189,-0.0147946163180394,0.0213132905197368,-0.10458536001487,0.0128742718746161,0.0512812899499264,0.0118704260453758,-0.00131591004599152,-0.175717198829853,-0.158128641773687,-0.0308155120490909,-0.025088118161998,-0.101650756062823,-0.000648057224054079,0.0263519939811204,-0.0485236707547107,-0.00858410968299296,-0.00841083859406768,-0.0209162447381087,0.0939252335495607,-0.00593267138572296,0.00197410413450597,0.0430302076326532,0.0950330185330434,-0.213123556784785,-0.033970835666178,-0.0102544075903226,-0.0512258902769977,0.0221976460942422,0.0114756245655575,-0.0165126515936609,0.0271077594440377,0.0886972598864194,-0.119290740019414,0.012640182895818,0.0517276710264146,0.0802057021054918,0.0119639138244733,-0.0395279131240616,-2.30772680113539e-05,0.0684142783160809,-0.00693247472336131,-1.36568824289789e-05,0.000918017728673606,-0.010299500948584,-0.0265974107809924,-0.00255156985448763,0.260371203954369,-0.0104338439562088,0.00409267390050557,0.0611409852389748,0.00601359891677114
"KEGG VEGF signaling pathway",-1.08990507356648e-05,-1.17367680984938e-05,-8.75048018663644e-06,0,-8.76970378335707e-06,0,-5.95985219744151e-06,-6.16108090183478e-06,-1.43276906598954e-05,-1.41462087494131e-05,-4.13978443540626e-06,-0.21861763518242,-0.0363535477463817,-0.281619565580719,-0.394746099508473,-0.0567575847627176,0.0445641681460466,-0.127516764034015,-0.000706021135584271,0.182763617355134,0.0514145430021376,-0.0342107336792129,-0.179446746577709,-0.233449388135513,-0.0600055932720398,-0.0410258215492404,-0.143327319928846,-0.000461336662503345,0.266167137547982,0.0376992915480499,-0.0326166282750392,-0.0280815222987431,-0.028106177174159,0.0852579478048615,-0.00410792632341371,-0.00107425085449397,0.182571050707526,0.0559156179180511,-0.291358660009785,-0.0587981740815297,-0.0324421707868318,-0.138334530192971,-0.00139831027014656,0.19703177465204,0.0226135966644498,-0.0227902098875378,0.016463506864656,-0.0652949438214287,-0.0020297380097185,0.176964792585957,0.079915812865396,0.0458990274354599,-0.0263422920852135,-4.52640487487785e-06,0.0349695245637417,0.0412968585605799,0.0376593035829249,-0.000740024877102786,0.12858198092398,-0.0380284487928578,-0.00325997830441507,0.3425227262296,-0.00985710480051354,-0.000929715206308393,-0.000972007949172193,0.0128322621380466
"KEGG Osteoclast differentiation",-2.83653587165805e-06,-1.00955681730926e-05,-1.51747543204864e-05,-1.02937839956202e-05,-3.13153667219963e-06,-9.88930361408192e-06,-6.81411211974036e-06,-7.55524647602006e-06,-8.09373201747586e-06,-6.39076416149458e-06,-6.74899110825834e-06,-0.190247763429572,-0.0137631739530956,-0.263950138975324,-0.366974282797247,-0.0179656600041927,0.0323469041419322,-0.151899814356734,-0.00071746830681995,0.136653060739164,-0.0123560178977233,0.0222631526426498,-0.166081851927112,-0.175215744330224,-0.0260912500767121,0.0594982147005142,-0.137409673446125,-0.000885592293878352,0.268372000190446,-0.0388911413142228,-0.0165217286776887,-0.0282299573277554,-0.0237275213402824,0.0413822293340605,0.00731070052737083,0.00160044066299582,0.0791808738650916,0.0881234751988538,-0.229556621552717,-0.0256172101997924,-0.000981452846413672,-0.137674829214183,-0.00118897097155333,0.184594285824663,-0.044972354579757,-0.0146510770454225,0.080510994528765,-0.13326222031542,0.00474468450687341,0.17555470189228,0.0317618800540925,0.0229214293181175,-0.027652025025816,-1.6042302998285e-05,0.152733818112162,0.0488686903064443,0.0591642488133742,-0.000960658818140663,0.0519524156910704,-0.0270823705109738,-0.000943316048947057,0.314589442292188,-0.0491797874793637,-0.00141467101858498,0.00088694617255623,-0.0378793232637047
"KEGG Toll-like receptor signaling pathway",-1.05932225059856e-05,-2.39752677016739e-06,-1.50393055289636e-05,-2.30718643547446e-06,-1.43297332352311e-05,-2.32002982290665e-05,0.000263660347471194,0.000274568308756591,-4.36048413001801e-06,-3.05175324070311e-06,-8.62347325908106e-06,-0.201849446413974,-0.000261012579284892,-0.289078811077898,-0.398700750923116,-0.0330368589450515,0.066240438719485,-0.125342090368208,-0.00138072226819667,0.00940938259193403,0.00408183560773182,-0.00470211667696765,-0.16914096957547,-0.2351672036196,-0.040012493956694,0.0282559686731202,-0.098080115791334,-0.000914430839384646,0.0835952829697826,-0.0116242271027861,-0.0054004636739443,-0.0234746623091468,-0.02770359972379,0.0570004469338082,0.00942754443586135,0.00232656522309076,0.0800095997181712,0.147090973280978,-0.267666071959671,-0.0286425518392942,0.0355048809516443,-0.107622386061072,-0.000519416865514386,-0.0246508058799373,-0.0167318398203623,-0.0203533825648664,0.0923370853297821,-0.0953829319651856,0.00659180299127187,0.00240330662152752,0.0253893839092135,-0.00478051854229867,-0.0401342668330481,-7.16283114634344e-06,0.0183301682403036,0.00936968809837265,-0.021514185945617,-8.29572409548522e-05,-0.0170927572921169,-0.058551283782155,-0.000257863797745509,0.250841542643992,-0.00697551460794185,-0.000618138290187207,0.00128159611203508,0.0378580252389527
"KEGG T cell receptor signaling pathway",-3.15955728769303e-06,-1.09075839594318e-05,-1.49186508152928e-05,-7.90711301893197e-06,0,-1.60965659376574e-05,-8.743882244177e-06,-4.57702908048392e-06,-4.88760942135592e-06,-1.03627466630337e-05,-1.11181229653319e-05,-0.195514642340635,-0.0277690942540807,-0.281240185578785,-0.34693014785333,-0.0144404791543298,0.00641187248498633,-0.107688795232203,0.000541379503830089,0.131627768314328,-0.00294352387162625,-0.0144763518583428,-0.183110672473908,-0.144138602744306,-0.0182045829928877,-0.00829951178627481,-0.0956686128688209,-0.000742475669392354,0.190048380953428,0.00348720745751125,-0.015588357813036,-0.0215323566178784,-0.0202352925614456,0.0298837817439223,-0.00326272002930142,0.00218358725067409,0.118201860793795,0.0462746285166511,-0.178982505832905,-0.0274066016184305,-0.0534241515354232,-0.10784312497532,-0.00171439613241823,0.139248614031466,0.00825857418486887,-0.0116307096177145,0.0370891522069088,-0.0355081892796994,0.000892898813611729,0.109861415077367,0.061766880708144,-0.00116980387702557,-0.0315182971012804,-1.35778393949253e-05,0.0107865620229238,0.0251800815504708,-0.0223786230086727,-0.000639214862395155,0.0666305391581891,-0.0153509809713792,-0.00111482192277687,0.315452337790768,-0.0129028996075208,-0.00198766547039476,0.00130891445288153,-0.00577501712155809
"KEGG B cell receptor signaling pathway",-1.34795555077298e-05,-1.14042571250995e-05,-1.55585178890074e-05,-5.16988041432816e-06,-3.41724344987311e-05,-9.89250246249118e-08,-1.19379660075299e-05,-1.67239508119717e-05,-7.41530922369128e-06,0,-1.64990525705433e-05,-0.187799616103337,-0.0292020617531014,-0.271293064186011,-0.376640835995603,-0.0276956827921609,-0.0264411370876702,-0.173157722808388,-0.000106558471625838,0.188146129639415,0.00112358037345795,-0.0138919945342794,-0.18559641637619,-0.170597474982196,-0.0453092453306477,-0.0175436620340464,-0.105840465504027,-0.00137517885750355,0.221528656865043,0.0514990085751583,-0.0193267221684148,-0.0216011386827777,-0.0225209044043696,0.063331415597954,-0.00662283054774891,0.0020140831222509,0.198425270824682,0.0762097020076482,-0.213879579564586,-0.024432916755802,-0.026610378965041,-0.139996568660197,-0.0019141233820946,0.221969632203258,0.000384130540895997,-0.00353106310468973,-0.00364400495084475,-0.139010589128055,-0.00025602907757225,0.195343376476224,0.0782225052371915,0.0282141011815747,-0.0192671007802581,-6.24518804259122e-05,0.0784155060178798,0.0573102788670664,0.0293999682663845,-0.000100957923415621,0.10241541682443,-0.0410843471393907,-0.00173614331965861,0.392098390126554,-0.0200909105924867,0.00785852443333515,0.00257372170227196,-0.0180176164666888
"KEGG Fc epsilon RI signaling pathway",-4.11839576055421e-06,-1.17797462485233e-05,-1.37130856646529e-05,-8.67909856822823e-06,-1.16959663923688e-05,-2.33573872645176e-05,-1.39649526330468e-05,-3.68784962169005e-06,0,-7.74293694401807e-06,-7.93527862775934e-06,-0.199777741839843,-0.0344008384743782,-0.278770787831137,-0.402572092630363,-0.0367485617022118,-0.0226268821960287,-0.123462710371852,-0.000479242663153742,0.260955700936944,0.0317561115708608,-0.0335149828581574,-0.179267562996614,-0.19893726600116,-0.0464555044946627,0.0582367978957844,-0.122342904509873,-0.00246142281215647,0.421879367253383,0.103194988053321,-0.0323664734367432,-0.0289934037482817,-0.0296654060401038,0.092956197915209,-0.0108592171679741,-0.00162818501161074,0.195333241492738,0.130361091613115,-0.287583314866904,-0.03439107701827,-0.00483071373869818,-0.12672340148823,-0.00148080399679803,0.310291969158482,0.027059434000786,-0.0223694896930886,0.042537130567251,-0.0918036809030821,-0.00132616861184129,0.214782912553431,0.0610387075407978,0.0431706646809698,-0.0331518087743809,-3.21011061867815e-05,0.0136147242561205,0.0383036885042871,0.0824458040559866,-0.000726375710375645,0.134913947991177,-0.0212410929652607,-0.000671736290797863,0.455669240186586,0.0365530212536172,-0.00151443077354192,-0.00103669026938541,0.0459951016039264
"KEGG Fc gamma R-mediated phagocytosis",-8.12805258967431e-06,-5.78844723124403e-06,-1.45491023643604e-05,-9.89236457991212e-06,0,0,-7.33974812123814e-06,-1.79669535811005e-05,-1.68428161432102e-05,-1.0553026032147e-05,-1.64748352834499e-06,-0.227410415630968,-0.0486788591999947,-0.251172272261027,-0.452567893984733,-0.0490458243541884,0.106307038412936,-0.226281929904902,-0.000768232074988928,0.291385565646332,0.0557926997777335,-0.0356280325275552,-0.162390108859396,-0.245373954048623,-0.0517800683104296,0.0820231360557179,-0.132798673555891,-0.000528606015070911,0.322098017189925,0.0721832261015521,-0.0358351151242105,-0.0405617802995175,-0.0248847239288683,0.0897334506657911,-0.0359100775589992,-0.0010209495965213,0.24012643955539,0.0932731188405468,-0.274536910873497,-0.0228923806283338,0.103828174456127,-0.119315206256256,-0.000777994764603217,0.304935775256996,-0.0115814250062707,-0.0256615611328612,0.104944500083535,-0.248642052496054,-0.000552535569663982,0.233166287272411,0.0564806589859776,0.0549995798461371,-0.0507733802084169,-6.59065576246107e-06,0.0809165260671079,0.0139162981093472,0.0618145455966302,-0.000504690966675604,0.0332317915182513,-0.0711563279880537,-0.00111397029876947,0.350593000434095,-0.00383401368812359,-0.00161300404081195,-0.00194469898294364,-0.00809649351080777
