"","HA_HB","HA_HI","HA_HL","HA_HS","HA_HT","HA_MA","HA_MB","HA_MI","HA_ML","HA_MS","HA_MT","HB_HI","HB_HL","HB_HS","HB_HT","HB_MA","HB_MB","HB_MI","HB_ML","HB_MS","HB_MT","HI_HL","HI_HS","HI_HT","HI_MA","HI_MB","HI_MI","HI_ML","HI_MS","HI_MT","HL_HS","HL_HT","HL_MA","HL_MB","HL_MI","HL_ML","HL_MS","HL_MT","HS_HT","HS_MA","HS_MB","HS_MI","HS_ML","HS_MS","HS_MT","HT_MA","HT_MB","HT_MI","HT_ML","HT_MS","HT_MT","MA_MB","MA_MI","MA_ML","MA_MS","MA_MT","MB_MI","MB_ML","MB_MS","MB_MT","MI_ML","MI_MS","MI_MT","ML_MS","ML_MT","MS_MT"
"KEGG Primary immunodeficiency",0.0297029702970297,1,1,1,1,1,0.0198019801980198,1,1,1,1,1,0.633663366336634,1,1,0.227722772277228,0.643564356435644,0.98019801980198,0.297029702970297,0.544554455445545,0.801980198019802,0.376237623762376,1,0.891089108910891,0.702970297029703,0.792079207920792,0.663366336633663,1,0.178217821782178,0.702970297029703,0.435643564356436,0.742574257425743,0.564356435643564,0.0198019801980198,0.277227722772277,1,0.0297029702970297,0.0792079207920792,0.940594059405941,0.198019801980198,0.514851485148515,1,1,0.277227722772277,0.732673267326733,0.178217821782178,0.099009900990099,0.603960396039604,0.168316831683168,0.762376237623762,0.257425742574257,0.306930693069307,0.415841584158416,1,0.326732673267327,0.138613861386139,0.891089108910891,1,0.415841584158416,0.910891089108911,1,0.0495049504950495,0.920792079207921,0.148514851485149,1,0.356435643564356
"KEGG Chemokine signaling pathway",1,1,1,1,1,1,1,1,1,1,1,1,0.504950495049505,1,1,0.673267326732673,0.445544554455446,0.940594059405941,0.504950495049505,0.0099009900990099,0.158415841584158,0.386138613861386,1,0.99009900990099,0.643564356435644,0.118811881188119,1,0.435643564356436,0.0099009900990099,0.306930693069307,0.811881188118812,0.524752475247525,0.336633663366337,0.0297029702970297,0.128712871287129,0.227722772277228,0.0099009900990099,0.0099009900990099,1,0.376237623762376,0.148514851485149,0.871287128712871,0.306930693069307,0.0099009900990099,0.316831683168317,0.316831683168317,0.188118811881188,1,1,0.0099009900990099,0.257425742574257,0.0396039603960396,1,1,0.0396039603960396,0.653465346534653,0.0891089108910891,0.316831683168317,0.0099009900990099,0.861386138613861,1,0.0099009900990099,0.871287128712871,0.544554455445545,0.108910891089109,0.663366336633663
"KEGG Apoptosis",1,1,1,1,1,1,1,1,1,1,1,1,0.693069306930693,1,1,0.613861386138614,0.247524752475248,0.940594059405941,0.0594059405940594,0.297029702970297,0.405940594059406,0.455445544554455,1,1,0.871287128712871,0.702970297029703,0.97029702970297,1,0.336633663366337,0.851485148514851,0.475247524752475,0.584158415841584,0.792079207920792,0.0495049504950495,0.415841584158416,0.108910891089109,0.168316831683168,0.0198019801980198,1,0.861386138613861,0.524752475247525,0.772277227722772,0.0198019801980198,0.425742574257426,0.643564356435644,0.148514851485149,0.118811881188119,0.95049504950495,0.0297029702970297,0.0693069306930693,0.0792079207920792,0.336633663366337,0.98019801980198,1,0.0594059405940594,0.396039603960396,0.524752475247525,0.0594059405940594,0.455445544554455,0.693069306930693,1,0.0099009900990099,0.653465346534653,0.0396039603960396,0.0099009900990099,0.475247524752475
"KEGG VEGF signaling pathway",1,1,1,1,1,1,1,1,1,1,1,1,0.801980198019802,1,1,1,0.207920792079208,0.97029702970297,1,0.0099009900990099,0.198019801980198,0.930693069306931,1,1,1,0.673267326732673,0.99009900990099,1,0.0099009900990099,0.346534653465347,0.851485148514851,0.851485148514851,0.851485148514851,0.0495049504950495,0.326732673267327,1,0.0099009900990099,0.188118811881188,1,1,0.722772277227723,0.99009900990099,1,0.0099009900990099,0.366336633663366,0.881188118811881,0.277227722772277,0.871287128712871,1,0.0396039603960396,0.108910891089109,0.118811881188119,0.722772277227723,1,0.287128712871287,0.178217821782178,0.356435643564356,1,0.0297029702970297,0.782178217821782,1,0.0099009900990099,0.653465346534653,1,1,0.306930693069307
"KEGG Osteoclast differentiation",1,1,1,1,1,1,1,1,1,1,1,1,0.673267326732673,1,1,0.782178217821782,0.316831683168317,1,1,0.0198019801980198,0.633663366336634,0.326732673267327,1,1,0.762376237623762,0.099009900990099,1,1,0.0099009900990099,0.732673267326733,0.722772277227723,0.861386138613861,0.851485148514851,0.108910891089109,0.336633663366337,0.138613861386139,0.0198019801980198,0.0099009900990099,1,0.930693069306931,0.465346534653465,1,1,0.0099009900990099,0.841584158415842,0.891089108910891,0.0891089108910891,0.99009900990099,0.0594059405940594,0.0099009900990099,0.138613861386139,0.158415841584158,0.910891089108911,1,0.0099009900990099,0.0792079207920792,0.158415841584158,0.217821782178218,0.148514851485149,0.732673267326733,1,0.0099009900990099,0.940594059405941,1,0.108910891089109,0.930693069306931
"KEGG Toll-like receptor signaling pathway",1,1,1,1,1,1,0.0099009900990099,0.0297029702970297,1,1,1,1,0.514851485148515,1,1,0.98019801980198,0.108910891089109,0.97029702970297,0.277227722772277,0.415841584158416,0.465346534653465,0.386138613861386,1,1,0.95049504950495,0.257425742574257,0.98019801980198,0.435643564356436,0.0891089108910891,0.613861386138614,0.475247524752475,0.712871287128713,0.99009900990099,0.0792079207920792,0.297029702970297,0.128712871287129,0.0495049504950495,0.0099009900990099,1,0.871287128712871,0.326732673267327,0.99009900990099,0.158415841584158,0.693069306930693,0.683168316831683,0.940594059405941,0.0693069306930693,0.940594059405941,0.0396039603960396,0.425742574257426,0.336633663366337,0.465346534653465,0.99009900990099,1,0.217821782178218,0.277227722772277,0.702970297029703,0.207920792079208,0.594059405940594,0.920792079207921,0.207920792079208,0.0099009900990099,0.564356435643564,0.198019801980198,0.099009900990099,0.247524752475248
"KEGG T cell receptor signaling pathway",1,1,1,1,1,1,1,1,1,1,1,1,0.762376237623762,1,1,0.762376237623762,0.534653465346535,0.98019801980198,0.099009900990099,0.0297029702970297,0.524752475247525,0.504950495049505,1,1,0.673267326732673,0.524752475247525,0.98019801980198,0.257425742574257,0.0099009900990099,0.405940594059406,0.623762376237624,0.742574257425743,0.821782178217822,0.148514851485149,0.396039603960396,0.0495049504950495,0.0297029702970297,0.158415841584158,1,0.871287128712871,0.801980198019802,0.98019801980198,1,0.0099009900990099,0.415841584158416,0.673267326732673,0.366336633663366,0.792079207920792,0.188118811881188,0.0297029702970297,0.0891089108910891,0.554455445544555,1,1,0.306930693069307,0.148514851485149,0.673267326732673,0.297029702970297,0.158415841584158,0.663366336633663,1,0.0099009900990099,0.693069306930693,1,0.0693069306930693,0.425742574257426
"KEGG B cell receptor signaling pathway",1,1,1,1,1,1,1,1,1,1,1,1,0.732673267326733,1,1,0.792079207920792,0.693069306930693,0.99009900990099,0.247524752475248,0.0099009900990099,0.445544554455446,0.396039603960396,1,0.99009900990099,0.920792079207921,0.554455445544555,0.920792079207921,1,0.0099009900990099,0.227722772277228,0.504950495049505,0.663366336633663,0.633663366336634,0.099009900990099,0.356435643564356,0.0594059405940594,0.0099009900990099,0.0396039603960396,1,0.752475247524752,0.752475247524752,0.95049504950495,1,0.0099009900990099,0.445544554455446,0.495049504950495,0.504950495049505,1,1,0.0099009900990099,0.0792079207920792,0.178217821782178,0.801980198019802,1,0.0396039603960396,0.0594059405940594,0.316831683168317,0.247524752475248,0.0594059405940594,0.732673267326733,1,0.0099009900990099,0.514851485148515,0.0198019801980198,0.0198019801980198,0.534653465346535
"KEGG Fc epsilon RI signaling pathway",1,1,1,1,1,1,1,1,1,1,1,1,0.910891089108911,1,1,0.99009900990099,0.643564356435644,0.99009900990099,1,0.0099009900990099,0.198019801980198,0.95049504950495,1,0.98019801980198,1,0.198019801980198,0.99009900990099,1,0.0099009900990099,0.0297029702970297,0.930693069306931,0.881188118811881,1,0.0495049504950495,0.425742574257426,1,0.0099009900990099,0.0198019801980198,1,0.96039603960396,0.495049504950495,0.96039603960396,1,0.0099009900990099,0.376237623762376,0.752475247524752,0.386138613861386,0.881188118811881,1,0.0099009900990099,0.0891089108910891,0.158415841584158,0.900990099009901,1,0.237623762376238,0.148514851485149,0.198019801980198,1,0.0099009900990099,0.712871287128713,1,0.0099009900990099,0.237623762376238,1,1,0.138613861386139
"KEGG Fc gamma R-mediated phagocytosis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0792079207920792,1,1,0.0099009900990099,0.138613861386139,0.881188118811881,1,1,0.99009900990099,0.148514851485149,0.96039603960396,0.188118811881188,0.0099009900990099,0.0495049504950495,0.930693069306931,1,0.900990099009901,0.0297029702970297,1,1,0.0099009900990099,0.0198019801980198,1,0.792079207920792,0.128712871287129,1,0.316831683168317,0.0099009900990099,0.504950495049505,0.871287128712871,0.0396039603960396,1,1,0.0099009900990099,0.128712871287129,0.0792079207920792,1,1,0.0297029702970297,0.227722772277228,0.188118811881188,0.178217821782178,0.217821782178218,0.98019801980198,1,0.0099009900990099,0.445544554455446,1,1,0.465346534653465
"KEGG Neurotrophin signaling pathway",1,1,1,1,1,1,1,1,1,1,1,1,0.841584158415842,1,1,1,0.227722772277228,0.99009900990099,0.495049504950495,0.0099009900990099,0.178217821782178,0.495049504950495,1,1,1,0.178217821782178,1,1,0.0099009900990099,0.138613861386139,0.653465346534653,0.574257425742574,0.930693069306931,0.0693069306930693,0.188118811881188,0.128712871287129,0.0099009900990099,0.0198019801980198,1,1,0.326732673267327,1,1,0.0099009900990099,0.287128712871287,0.910891089108911,0.0792079207920792,0.910891089108911,0.0297029702970297,0.0099009900990099,0.0297029702970297,0.267326732673267,0.96039603960396,1,0.207920792079208,0.376237623762376,0.227722772277228,0.237623762376238,0.0495049504950495,0.792079207920792,1,0.0099009900990099,0.475247524752475,0.217821782178218,0.118811881188119,0.405940594059406
"KEGG Insulin signaling pathway",1,1,1,1,1,1,1,1,1,1,1,1,0.732673267326733,1,1,0.257425742574257,0.772277227722772,0.96039603960396,1,0.0693069306930693,0.98019801980198,0.95049504950495,1,1,1,0.237623762376238,0.99009900990099,1,0.0099009900990099,0.742574257425743,0.396039603960396,0.633663366336634,0.227722772277228,0.237623762376238,0.425742574257426,1,0.0297029702970297,0.138613861386139,1,0.940594059405941,0.376237623762376,0.99009900990099,1,0.0198019801980198,0.831683168316832,0.485148514851485,0.425742574257426,0.98019801980198,1,0.0594059405940594,0.722772277227723,0.198019801980198,0.95049504950495,1,0.752475247524752,0.316831683168317,0.376237623762376,1,0.405940594059406,0.801980198019802,1,0.0099009900990099,0.96039603960396,1,1,0.900990099009901
