"","HA","HB","HI","HL","HS","HT","MA","MB","MI","ML","MS","MT"
"KEGG Primary immunodeficiency",0.000161290322580645,0.754193548387097,0.484838709677419,0.104193548387097,0.653064516129032,0.775483870967742,0.0437096774193548,0.576451612903226,0.524193548387097,0.000161290322580645,0.190161290322581,0.219193548387097
"KEGG Chemokine signaling pathway",0,0.706170212765957,0.34113475177305,0.11386524822695,0.464929078014184,0.744290780141844,0.0685815602836879,0.379148936170213,0.441418439716312,0.00074468085106383,0.260531914893617,0.146560283687943
"KEGG Apoptosis",0,0.777291666666667,0.344305555555556,0.09125,0.480555555555556,0.847152777777778,0.101319444444444,0.464652777777778,0.394375,0.00770833333333333,0.253958333333333,0.156944444444444
"KEGG VEGF signaling pathway",0,0.717368421052632,0.324736842105263,0.0951754385964912,0.375438596491228,0.779912280701754,0.0613157894736842,0.405350877192982,0.477017543859649,0.000964912280701754,0.273070175438596,0.167105263157895
"KEGG Osteoclast differentiation",0,0.700544554455446,0.407128712871287,0.0791584158415842,0.485445544554455,0.782524752475248,0.110841584158416,0.466881188118812,0.520891089108911,0.0051980198019802,0.270495049504951,0.158564356435644
"KEGG Toll-like receptor signaling pathway",5.81395348837209e-05,0.688081395348837,0.330058139534884,0.0736627906976744,0.441918604651163,0.769302325581395,0.0756395348837209,0.437674418604651,0.428662790697674,0.00587209302325581,0.22406976744186,0.129767441860465
"KEGG T cell receptor signaling pathway",0,0.762956989247312,0.460698924731183,0.0710215053763441,0.542096774193548,0.775591397849462,0.0585483870967742,0.511236559139785,0.558279569892473,0.00118279569892473,0.238279569892473,0.208548387096774
"KEGG B cell receptor signaling pathway",0,0.784576271186441,0.384830508474576,0.118898305084746,0.530677966101695,0.825847457627119,0.0776271186440678,0.607203389830508,0.645,0.005,0.287627118644068,0.184322033898305
"KEGG Fc epsilon RI signaling pathway",0,0.727421875,0.36796875,0.08484375,0.447890625,0.8065625,0.046015625,0.36234375,0.49671875,0.00015625,0.30328125,0.165703125
"KEGG Fc gamma R-mediated phagocytosis",0,0.773472222222222,0.44625,0.132083333333333,0.563055555555556,0.831666666666667,0.0803472222222222,0.429305555555556,0.508958333333333,0.000625,0.315486111111111,0.1475
"KEGG Neurotrophin signaling pathway",0,0.749047619047619,0.343952380952381,0.0954285714285714,0.438238095238095,0.810809523809524,0.0713809523809524,0.409380952380952,0.491571428571429,0.00376190476190476,0.308285714285714,0.196571428571429
"KEGG Insulin signaling pathway",0,0.707008928571429,0.327455357142857,0.0804910714285714,0.425401785714286,0.762276785714286,0.0735267857142857,0.323169642857143,0.367857142857143,4.46428571428571e-05,0.253660714285714,0.100669642857143
"KEGG Chagas disease (American trypanosomiasis)",0,0.732722222222222,0.374888888888889,0.0580555555555556,0.4735,0.802722222222222,0.0771111111111111,0.453611111111111,0.439888888888889,0.00455555555555556,0.256833333333333,0.115777777777778
"KEGG Toxoplasmosis",0,0.707843137254902,0.36671568627451,0.0591176470588235,0.435833333333333,0.741960784313725,0.0747549019607843,0.388872549019608,0.47171568627451,0.00754901960784314,0.283039215686274,0.160392156862745
"KEGG Hepatitis C",4.5045045045045e-05,0.631711711711712,0.298378378378378,0.091036036036036,0.340990990990991,0.769054054054054,0.0808558558558559,0.381081081081081,0.349594594594595,0.00545045045045045,0.282072072072072,0.133963963963964
"KEGG Colorectal cancer",0,0.751228070175439,0.334561403508772,0.0482456140350877,0.483859649122807,0.852719298245614,0.0657894736842105,0.467280701754386,0.470701754385965,0.000175438596491228,0.233157894736842,0.165350877192982
"KEGG Renal cell carcinoma",0,0.717321428571429,0.345535714285714,0.0832142857142857,0.449107142857143,0.681964285714286,0.0783928571428571,0.43,0.477410714285714,0,0.299464285714286,0.125892857142857
"KEGG Pancreatic cancer",0,0.716746031746032,0.346349206349206,0.060952380952381,0.45515873015873,0.728730158730159,0.0829365079365079,0.364126984126984,0.387857142857143,0.000396825396825397,0.287222222222222,0.138015873015873
"KEGG Endometrial cancer",0,0.696333333333333,0.462,0.0901111111111111,0.498333333333333,0.799888888888889,0.0407777777777778,0.484666666666667,0.534777777777778,0.000111111111111111,0.286777777777778,0.154333333333333
"KEGG Glioma",0.000102040816326531,0.735918367346939,0.369183673469388,0.0652040816326531,0.375918367346939,0.776632653061225,0.0721428571428571,0.39969387755102,0.383163265306122,0,0.278673469387755,0.140204081632653
"KEGG Prostate cancer",6.49350649350649e-05,0.674935064935065,0.393506493506494,0.0781168831168831,0.420519480519481,0.72974025974026,0.0618181818181818,0.387272727272727,0.387532467532468,0.000649350649350649,0.247272727272727,0.118246753246753
"KEGG Chronic myeloid leukemia",8.06451612903226e-05,0.768548387096774,0.363064516129032,0.0835483870967742,0.448870967741935,0.807661290322581,0.082741935483871,0.441290322580645,0.465725806451613,0.000725806451612903,0.29991935483871,0.182016129032258
"KEGG Acute myeloid leukemia",0,0.719489795918367,0.441938775510204,0.107448979591837,0.555714285714286,0.820816326530612,0.0664285714285714,0.496734693877551,0.48969387755102,0.00214285714285714,0.269387755102041,0.126326530612245
"KEGG Non-small cell lung cancer",0,0.721444444444444,0.400666666666667,0.092,0.407666666666667,0.837777777777778,0.0577777777777778,0.418666666666667,0.398111111111111,0,0.305333333333333,0.163333333333333
"KEGG RNA transport",0,0.749484536082474,0.374381443298969,0.0595876288659794,0.503041237113402,0.764175257731959,0.0812371134020619,0.294948453608247,0.287938144329897,0,0.162010309278351,0.163969072164948
"KEGG Phagosome",0,0.649605263157895,0.390745614035088,0.073640350877193,0.4625,0.762543859649123,0.0869298245614035,0.351754385964912,0.524166666666667,0.00210526315789474,0.302763157894737,0.196885964912281
"KEGG Antigen processing and presentation",0,0.795,0.335,0.0907777777777778,0.538555555555556,0.747111111111111,0.0904444444444444,0.547555555555556,0.351444444444444,0.0118888888888889,0.305111111111111,0.245777777777778
"KEGG Leishmaniasis",0,0.792678571428571,0.509017857142857,0.0802678571428571,0.587321428571429,0.746428571428571,0.123571428571429,0.516785714285714,0.678125,0.00776785714285714,0.332410714285714,0.10875
